@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R2-770,780-795'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute pureMSA numeric
@attribute pureEGY numeric
@attribute pureGLF numeric
@attribute pureLAV numeric
@attribute pureNOR numeric
@attribute MSAEGY numeric
@attribute MSAGLF numeric
@attribute MSALAV numeric
@attribute MSANOR numeric

@data
EGY,1,11,5,3,4,37,34,36,35
EGY,0,14,3,3,6,50,42,46,45
EGY,0,6,3,4,3,14,14,14,14
EGY,0,12,4,4,3,30,25,27,26
EGY,0,12,7,7,6,21,18,18,21
EGY,5,8,1,2,2,102,99,99,97
EGY,0,12,5,6,6,38,31,33,34
EGY,2,21,7,6,10,32,30,30,31
EGY,3,14,5,5,7,34,33,32,34
EGY,2,35,14,17,11,54,51,49,47
EGY,0,14,6,5,5,32,29,30,30
EGY,0,14,5,4,3,29,27,26,27
EGY,1,13,6,3,4,20,20,20,18
EGY,2,24,9,7,7,106,99,96,86
EGY,2,22,10,10,9,54,51,48,50
EGY,5,70,18,24,21,169,146,154,147
EGY,1,12,4,2,1,29,25,27,26
EGY,0,15,7,8,9,17,16,16,14
EGY,0,12,3,5,4,25,21,20,19
EGY,2,29,8,9,7,78,71,72,73
EGY,0,11,8,6,8,35,34,35,34
EGY,1,13,5,5,3,23,22,21,21
EGY,1,12,7,8,6,30,27,29,28
EGY,1,8,3,2,2,22,19,20,21
EGY,1,4,3,4,4,23,23,21,20
EGY,1,27,12,8,12,66,62,61,61
EGY,1,30,8,5,9,92,81,81,78
EGY,1,13,5,2,4,14,13,14,14
EGY,0,4,1,0,0,34,30,29,28
EGY,1,19,4,5,3,25,23,23,24
EGY,0,7,5,5,4,13,12,11,12
EGY,1,7,0,1,1,14,13,12,13
EGY,0,13,3,3,3,29,26,28,26
EGY,2,7,3,4,3,23,23,23,23
EGY,1,30,12,18,16,49,49,47,46
EGY,1,43,20,17,21,84,81,81,77
EGY,6,21,8,5,5,83,79,76,74
EGY,2,17,5,4,5,52,46,48,48
EGY,0,12,4,6,5,24,23,24,22
EGY,0,9,3,6,5,14,14,13,13
EGY,0,22,11,9,5,66,64,60,59
EGY,0,17,3,7,3,41,37,37,39
EGY,3,16,5,4,4,87,77,76,82
EGY,2,28,12,11,10,38,37,38,34
EGY,0,8,1,1,1,11,11,11,11
EGY,1,27,14,14,16,62,59,59,55
EGY,0,9,2,4,3,13,12,13,13
EGY,0,10,2,3,1,15,15,15,14
EGY,3,24,6,9,6,50,45,45,44
EGY,0,10,2,4,4,31,29,30,27
EGY,0,19,7,9,7,65,63,63,60
EGY,0,17,3,6,7,70,63,62,67
EGY,0,13,3,3,3,19,19,19,19
EGY,1,2,1,0,0,22,22,20,22
EGY,11,14,8,7,3,73,68,64,64
EGY,0,10,3,3,2,32,28,28,26
EGY,1,22,10,14,11,58,50,56,50
EGY,3,16,2,3,2,64,62,63,61
EGY,0,14,3,2,2,22,19,22,18
EGY,1,8,3,2,3,35,31,31,29
EGY,0,11,2,3,5,14,14,14,14
EGY,3,22,7,9,7,41,38,36,39
EGY,0,29,14,14,15,33,30,28,32
EGY,3,51,12,12,12,124,110,118,117
EGY,1,18,1,5,5,47,45,45,46
EGY,0,9,2,3,2,24,23,24,22
EGY,0,11,2,1,1,17,16,16,17
EGY,0,7,3,5,4,24,23,22,21
EGY,0,9,1,2,3,21,18,19,17
EGY,1,10,1,3,2,35,29,32,31
EGY,1,25,9,7,11,51,47,49,49
EGY,4,6,1,1,0,25,25,24,25
EGY,0,17,10,11,10,19,17,17,17
EGY,0,4,1,2,1,23,22,22,23
EGY,0,26,12,11,12,68,66,65,62
EGY,2,16,5,7,4,32,30,31,30
EGY,0,7,3,2,1,26,25,25,25
EGY,2,13,8,7,4,15,14,13,14
EGY,0,7,4,3,3,14,13,14,13
EGY,0,12,3,5,3,31,31,31,31
EGY,0,13,1,7,4,12,12,11,11
EGY,1,5,3,0,2,34,33,32,32
EGY,1,14,5,6,6,34,33,32,33
EGY,0,9,2,0,2,24,23,22,22
EGY,1,18,6,4,3,20,16,20,19
EGY,4,20,7,5,5,79,74,76,71
EGY,1,10,5,4,2,58,57,55,53
EGY,2,32,15,10,12,50,48,47,50
EGY,2,38,8,11,8,81,70,73,68
EGY,0,6,3,3,4,24,22,22,21
EGY,2,27,7,6,5,46,36,44,39
EGY,1,20,7,9,6,56,52,49,46
EGY,5,34,10,13,13,111,102,102,99
EGY,1,23,3,7,5,78,69,74,70
EGY,0,8,2,3,4,31,31,30,26
EGY,4,10,3,3,2,23,21,20,22
EGY,0,20,7,4,5,51,47,49,47
EGY,0,14,3,1,4,32,30,27,31
EGY,0,10,5,4,4,25,23,25,25
EGY,0,13,3,1,2,48,45,46,44
EGY,1,8,1,2,2,20,19,19,17
EGY,0,7,3,2,2,17,15,12,15
EGY,2,19,2,2,6,81,69,72,73
EGY,1,8,3,3,2,20,20,18,15
EGY,0,5,2,1,0,12,10,11,9
EGY,0,6,1,2,1,20,19,18,17
EGY,0,29,9,16,9,66,60,60,61
EGY,1,12,4,4,3,41,39,35,35
EGY,0,8,3,4,4,49,46,49,44
EGY,0,7,2,4,2,14,14,14,12
EGY,1,38,17,15,9,48,47,47,45
EGY,1,9,4,4,5,28,28,27,27
EGY,1,8,5,4,5,14,13,12,13
EGY,2,15,4,6,3,39,37,36,37
EGY,1,14,7,7,6,37,34,35,34
EGY,4,17,6,7,8,61,58,51,50
EGY,2,25,12,11,8,85,77,77,77
EGY,0,12,6,7,9,37,35,35,36
EGY,2,16,6,7,8,85,77,80,72
EGY,2,12,3,5,4,53,51,52,49
EGY,1,18,5,7,5,24,22,20,17
EGY,1,6,3,3,5,23,23,23,23
EGY,2,14,4,5,3,74,69,67,65
EGY,2,5,2,3,2,16,15,16,15
EGY,2,25,9,10,8,45,43,41,42
EGY,4,19,8,8,7,63,56,59,53
EGY,16,85,24,34,27,275,258,256,251
EGY,3,11,6,2,2,41,37,38,37
EGY,0,9,3,1,2,27,25,25,26
EGY,1,24,4,7,8,43,39,41,39
EGY,0,15,5,4,6,28,26,27,25
EGY,0,0,0,0,0,32,30,27,26
EGY,2,17,6,5,5,38,35,36,36
EGY,0,60,17,19,21,59,53,53,51
EGY,4,13,6,3,3,90,89,85,83
EGY,1,36,16,20,19,108,99,106,98
EGY,2,13,8,8,8,70,69,69,67
EGY,1,38,14,13,11,91,87,82,84
EGY,0,9,3,1,3,24,23,23,21
EGY,7,70,29,30,29,183,163,172,161
EGY,2,1,0,0,0,22,20,20,20
EGY,0,3,2,2,2,17,15,17,17
EGY,0,4,0,1,0,17,16,17,15
EGY,0,7,0,1,0,17,17,17,16
EGY,3,19,6,7,5,107,98,92,86
EGY,4,13,6,7,5,28,28,27,27
EGY,6,47,9,14,8,190,175,173,176
EGY,0,19,7,8,9,20,18,17,17
EGY,2,19,5,7,4,75,68,67,65
EGY,1,11,3,4,2,42,37,39,35
EGY,0,33,16,11,12,73,71,67,66
EGY,0,11,3,5,5,22,20,20,19
EGY,2,7,4,5,3,41,38,39,38
EGY,0,5,1,2,1,15,15,15,15
EGY,1,33,7,17,14,82,77,77,77
EGY,1,30,13,14,16,76,72,72,72
EGY,2,4,3,3,0,28,26,27,26
EGY,2,3,1,0,0,21,19,18,19
EGY,2,23,9,11,7,64,60,61,61
EGY,5,14,5,5,2,84,79,83,76
EGY,5,15,5,5,2,58,56,58,54
EGY,2,19,8,4,5,108,103,104,100
EGY,5,40,14,13,15,113,107,109,105
EGY,10,41,20,20,24,175,171,170,164
EGY,9,40,22,23,22,110,106,108,107
EGY,1,10,2,3,1,21,19,20,20
EGY,10,39,11,9,11,207,191,188,190
EGY,1,25,9,12,9,62,61,60,59
EGY,14,46,22,21,17,165,153,146,142
EGY,2,20,3,6,9,30,29,27,29
EGY,0,8,5,6,5,25,24,25,24
EGY,20,39,12,11,9,274,251,258,245
EGY,0,7,3,3,1,25,20,22,21
EGY,0,12,3,3,6,17,16,15,14
EGY,0,4,1,0,3,30,28,25,27
EGY,2,61,19,21,19,115,105,102,105
EGY,0,36,16,16,15,62,57,58,57
EGY,7,14,5,5,3,144,135,140,126
EGY,0,9,4,4,3,16,14,13,15
EGY,0,14,6,6,6,19,17,18,17
EGY,0,8,3,5,3,80,71,74,65
EGY,2,44,15,17,19,79,70,71,69
EGY,0,11,2,3,4,27,25,22,24
EGY,0,14,7,5,4,73,70,71,68
EGY,2,7,3,3,4,23,19,21,23
EGY,2,9,4,3,3,33,32,31,32
EGY,0,18,6,4,4,30,30,30,30
EGY,2,4,1,1,1,21,18,17,19
EGY,5,29,11,13,8,47,45,46,41
EGY,2,28,9,9,9,41,33,36,34
EGY,1,24,11,13,12,58,56,57,54
EGY,2,19,8,8,8,74,66,69,63
EGY,0,10,2,1,3,29,27,27,27
EGY,0,7,2,2,2,13,13,13,12
EGY,1,7,1,2,1,21,21,19,18
EGY,4,8,3,4,3,45,43,39,41
EGY,0,16,4,5,6,37,36,35,30
EGY,2,8,3,2,3,39,34,36,34
EGY,1,12,5,3,6,26,24,25,23
EGY,0,7,4,2,2,26,26,24,24
EGY,0,21,4,4,4,48,43,46,39
EGY,0,13,5,6,5,46,43,42,43
EGY,0,8,3,4,4,34,33,31,33
EGY,4,29,10,11,11,91,84,88,83
EGY,6,20,10,10,7,69,68,66,66
EGY,6,65,30,29,26,153,143,144,141
EGY,0,7,2,5,2,13,13,13,13
EGY,1,6,2,3,2,18,17,18,17
EGY,3,7,1,1,0,20,17,19,17
EGY,2,20,7,8,4,72,64,65,62
EGY,1,7,2,2,3,16,16,16,16
EGY,1,16,10,5,8,37,36,34,35
EGY,4,24,6,8,8,70,65,60,56
EGY,3,2,0,0,0,21,20,20,20
EGY,0,8,4,3,5,28,27,27,27
EGY,4,42,22,20,22,111,105,106,100
EGY,0,9,2,5,4,24,24,22,23
EGY,0,9,5,4,5,13,13,12,13
EGY,0,16,6,5,6,46,42,45,37
EGY,4,22,10,10,12,66,65,63,63
EGY,5,10,2,6,0,58,53,53,51
EGY,1,31,14,16,8,103,95,92,93
EGY,0,7,2,2,2,23,19,20,18
EGY,1,18,7,5,5,71,68,65,67
EGY,3,30,19,17,12,97,91,89,86
EGY,2,8,3,2,3,37,35,34,33
EGY,1,3,3,1,1,24,22,22,20
EGY,0,9,1,1,0,29,28,26,26
EGY,4,9,3,4,3,26,25,26,24
EGY,0,18,4,4,6,36,34,34,33
EGY,3,31,9,11,11,47,45,44,44
EGY,5,28,13,15,14,50,47,49,46
EGY,1,14,3,2,1,34,33,33,33
EGY,0,14,5,6,3,18,17,18,18
EGY,3,17,8,9,7,39,38,38,39
EGY,1,7,3,2,0,20,17,15,18
EGY,2,62,16,24,19,115,105,108,109
EGY,1,35,6,10,9,46,42,44,42
EGY,6,30,12,6,11,115,109,110,107
EGY,2,26,6,9,8,67,58,62,61
EGY,3,9,3,4,3,44,43,39,42
EGY,4,32,11,12,12,160,157,157,144
EGY,0,56,16,22,16,202,188,191,186
EGY,2,26,8,8,6,38,35,33,34
EGY,2,13,5,2,5,43,42,42,42
EGY,2,14,6,7,6,50,47,46,44
EGY,6,26,4,9,9,59,57,57,58
EGY,0,24,6,6,5,49,48,44,46
EGY,1,24,9,6,5,51,46,44,41
EGY,3,14,5,5,8,38,36,37,36
EGY,1,7,3,4,3,16,15,14,13
EGY,0,15,11,9,8,26,25,24,23
EGY,12,19,7,8,5,63,61,58,55
EGY,1,9,4,5,4,25,25,24,23
EGY,1,11,4,6,5,47,40,40,39
EGY,6,9,2,3,3,38,36,34,34
EGY,3,23,13,11,13,89,85,87,85
EGY,0,17,5,6,4,109,100,103,95
EGY,2,9,6,5,7,42,41,41,39
EGY,0,14,3,4,3,29,28,27,28
EGY,0,6,2,2,1,17,15,14,12
EGY,0,18,5,7,8,66,57,57,54
EGY,1,22,10,9,8,66,60,62,61
EGY,0,20,6,6,5,57,56,49,48
EGY,1,8,3,4,4,13,11,10,13
EGY,3,40,10,11,13,168,148,156,149
EGY,1,17,6,6,6,34,31,30,30
EGY,2,26,13,10,7,79,75,74,70
EGY,4,15,6,7,7,69,62,63,63
EGY,4,21,9,5,6,123,116,109,112
EGY,0,6,1,2,2,13,12,12,12
EGY,0,11,7,6,4,33,31,31,33
EGY,4,10,4,3,4,43,38,34,30
EGY,0,15,7,7,6,22,21,21,20
EGY,1,9,4,1,2,27,26,26,24
EGY,0,5,2,2,1,14,13,14,14
EGY,0,16,10,7,4,23,21,19,21
EGY,0,21,8,7,5,60,56,59,56
EGY,5,19,9,11,6,116,111,109,109
EGY,0,28,12,8,10,92,89,91,85
EGY,1,15,7,5,5,43,40,39,37
EGY,0,12,4,6,4,28,24,27,24
EGY,5,49,19,21,16,162,152,151,147
EGY,2,34,11,10,7,127,125,123,118
EGY,0,32,14,9,12,76,73,74,70
EGY,1,7,1,3,0,32,28,30,30
EGY,0,15,4,4,4,15,13,14,14
EGY,2,11,2,0,0,52,48,47,40
EGY,0,19,10,9,9,56,53,54,50
EGY,1,16,6,4,3,28,24,23,25
EGY,0,18,5,5,5,15,13,14,13
EGY,1,10,3,4,2,46,44,43,37
EGY,0,16,4,5,4,71,63,63,61
EGY,0,3,1,2,1,18,15,16,16
EGY,4,44,17,15,19,69,65,64,62
EGY,1,16,5,7,3,27,27,26,24
EGY,1,6,1,2,2,33,29,30,30
EGY,1,11,6,6,5,39,35,35,35
EGY,1,5,2,2,3,37,31,33,30
EGY,0,14,4,5,4,13,13,13,12
EGY,0,5,1,3,2,21,21,20,19
EGY,0,12,5,5,6,30,28,29,26
EGY,2,24,8,3,4,72,70,68,68
EGY,0,12,5,6,4,32,30,30,30
EGY,3,9,2,1,2,53,50,48,50
EGY,0,11,6,5,4,15,15,14,14
EGY,3,20,6,7,6,74,70,71,65
EGY,1,10,2,3,5,34,33,32,31
EGY,2,25,10,12,13,43,40,40,38
EGY,2,14,7,5,6,69,66,65,61
EGY,5,42,20,16,26,101,95,97,99
EGY,0,14,1,2,2,21,20,20,19
EGY,5,35,11,13,11,83,79,78,79
EGY,3,19,3,3,3,46,41,44,42
EGY,2,4,2,1,1,18,17,14,16
EGY,1,28,7,5,5,69,64,63,62
EGY,5,79,19,13,21,119,102,111,100
EGY,2,7,1,2,2,25,25,24,24
EGY,2,8,2,3,1,17,16,16,17
EGY,0,14,4,3,4,41,36,39,39
EGY,2,3,1,1,0,26,25,24,26
EGY,1,48,12,10,13,87,80,85,82
EGY,3,9,2,3,3,23,20,21,20
EGY,1,2,2,2,1,24,21,24,23
EGY,1,23,11,8,8,57,51,52,49
EGY,5,25,9,8,7,96,95,90,90
EGY,3,37,15,17,15,55,49,49,52
EGY,0,55,17,16,18,56,51,55,52
EGY,1,11,4,6,6,44,42,43,38
EGY,4,25,9,11,10,122,116,113,108
EGY,1,11,7,9,6,18,18,18,18
EGY,0,12,1,3,2,14,11,13,11
EGY,1,9,3,4,3,55,53,52,47
EGY,2,6,0,1,1,19,17,18,18
EGY,2,17,5,9,7,48,41,47,44
EGY,0,13,3,2,2,53,50,50,48
EGY,2,30,12,10,11,41,38,37,35
EGY,0,15,8,5,6,31,28,28,29
EGY,3,16,8,5,6,75,67,68,64
EGY,3,30,10,9,8,61,57,52,57
EGY,0,9,3,2,3,11,10,9,9
EGY,0,12,3,0,3,26,26,25,24
EGY,0,9,3,3,3,12,11,12,12
EGY,0,8,3,5,3,17,17,17,16
EGY,1,7,4,3,2,19,18,18,18
EGY,0,13,3,5,2,19,18,17,19
EGY,2,26,11,11,7,86,78,74,75
EGY,0,5,2,1,2,28,28,25,26
EGY,0,17,8,8,8,29,28,27,28
EGY,0,10,3,4,3,14,12,12,11
EGY,3,14,6,4,4,80,76,76,67
EGY,0,22,4,7,7,36,33,34,31
EGY,0,6,2,1,2,31,29,31,30
