@relation textClassifier

@attribute textClassifier {EGY, MSA}
@attribute text String

@data
EGY,'لما تيجي ثورة مراحل التغيير عسكرييها مرتبطة بمراحل تطور الإنترنت في مصر مع المواقع والمنتديات حضرة حضرة الجماهير الغفيرة مع ال أه المدونات حضر الرأي الفردي مع الفيسبوك وتويتر حصل إيه حصل الشرق العلاقات لما حصلت هذه المرحلة حدث التغيير'
EGY,'لماذا لا تطلب من الشعب أن يمهلك ستة أشهر وتوقف عن المظاهرات الفئوية وها ال ال الإضرابات التي تتم وهذه الأشياء وبعد ستة شهور يطلعوا لنا ويقول هناك أخرى'
EGY,'لماذا لم يخرج رئيس الدولة إلى الشعب حتى هذه اللحظة لكي أشرح في خطاب مكتوب إلى الشعب الهدف الرئيسي من وراء هذه الأشياء ويقول هذه البلبلة بدل من المستشار فلمصر و والدنيا مش واضح'
EGY,'لماذا يقبل التعددية الثقافية والفكرية كل الأحوال لكن مجتمع كانت شرسة جدا بعدم قبول فكرة الاحتلال في أثناء الحملة الفرنسية على مصر 1798 لما نابليون بونابرت ماذا الإسكندرية حصلت مقاومة عنيفة جدا الفرنسيين وأدت إلى شنق العديد من الوطنيين الذين قاوموا الاحتلال في المدينة لأني فيها عصبيات من أصول مغربية ولئن فيها فلاحين ولا ينفيها صيادين ريني فيها تجار ولائم فيها الميناء داخلا طبيعة المجتمع في الفترة دي من كل طائفة تتمحور حول ذاتها بتشكل بؤرة مقاومة لأي شيء يرى أهل المدينة إن هو مناقض لطبيعتي مدينة واحدة وده كان من أشد لحظات مقاومة المدينة للفرنسيين ثم للإنجليز'
EGY,'أعلن معنا خلاص يا ليلى الشرع بدأت بالفعل للناس يعني لأول مرة تحصل الشارع بأه للناس مش بالمعنى المجازي ما للحقيقة'
EGY,'لمواءمة لسن اليأس الحركة عن ما تقول ما أعلن فثلاث الشرق أنني أعلم لأنه يعني في بعض الأحيان بل في كثير من الأحيان أه بيوضع كلام على لساني لم أقل ثم ثم تبدأ الناس لماذا قلت هذا وهذا يضر بالاقتصاد وهذا ما سنسأل مرة إننا قلت نحن نتجه إلى التقشف والكساد هل يعقل هذا إنه وأكون 4 والتصريح إتباع نستهجن تصريحات يعني أنا يعني أنا مش عارف لكن في يعني في يعني أنا أنا ممكن مرة من المرات كنت في زيارة الجزائر الشقيقة وكنا في وفد مصري وكانت زيارة ناجحة بجميع بجميع المقاييس يعني التقينا ب أرفع المسؤولين في حكومة الجزائر التقينا برئيس الجمهورية شخصيا عمل فيها اتفاق على مدينة يقوم به شركات المقاولات المصرية اتفقنا على إنشاء مدينة صناعية مصرية حل لنا مشاكل العديد من المستثمرين اهتمينا برعاية المصريين كان فيه أحد المصريين كان مسجون يعني السبب الناووس سيد الرئيس استجاب لطلبنا وكان يوم 4 وكليج وخميس وفعلا يعني وعد وفى بما وعد إن هو أه يعيد ويستأهلوا فكل هذا الزخم وكل هذه الأحداث'
EGY,'لمواطن فرانسيس ممكن دليلي مواطن أردني المواطنين فهم المغمور مفاجأة في يعني مختلف هموم فسكان فيها على حياة مختلفة وبتعويض بس يعني للتكتل'
EGY,'لقد سوريا حقيقية طبعا بصراحة فيه عندك أن الحزب المستقل في كافة قراراته لكن هناك تنسيق بين الجماعة والحزب في القرارات الاستراتيجية هذه القرارات الاستراتيجية زي مثلا الدخول في الانتخابات التشريعية سواء كانت البرلمانية أو الرئاسية أو الترشيح للرئاسة نحن لم نستفد قرارا في مجلس الشورى وحدنا ولم يتخل الهيئة العليا لحزب الهيئة العليا المجتمع وقررت الدخول في انتخابات مجلس الشورى اجتمع وقرر أن يدخل انتخابات وبالتالي التقت الإراديتين ولما رشحنا سواء ك المهندس خيرت الشاطر أو الدكتور محمد مرسي عملنا مؤتمر صحفيين اثنين وبالتالي القول بأن الحزب والهيئة العليا للحزب ومؤتمر الحزب لا يتخذ قرارات هذا كلام غير صحيح'
EGY,'لسه ما جيتش على إصدار عالمي سأغنيها قوي هل إن تؤديها أخذت قرار سري بالتعبئة ضد النظام'
EGY,'لتدارس ما يعملوا فصل الثاني بدون حب التراث يجهزون لا يعني جلستكم بيتربيس إحنا لا نعرف وعاداتكم بيوت'
EGY,'لو أخذنا شارع ازاي شارع النبي دانيال 30 مسجد النبي دانيال ليفي وجزء من ممكن يسموه أصيا فيه جزء منه اللي هو المعنى باليهودية وضيفي كذلك هذا الطابع للحادث مميزا'
EGY,'لو استمر الوضع كما هو لا أنا متصور إنه وتحظى كنت تتحدث هنا عن تقييد للقوانين الخاطئة التي كانت موجودة هناك قوانين حتى تقدم الجمعية تفش قانون الجامعات لم يكن يسمح للجمعيات أن تتم ولم يكن يسمح للأحزاب أن تتم وبالتالي تقنين هذه القوى دواجن مجلس الشعب ولم للبرلمان الموجود'
EGY,'لو جم الصبح حياتنا كانوا ولم يسأل أحدكم'
EGY,'لو كان حادث بن علي حصلناه مكان موجود 2003 1 2004 وما بعد الحداثة وثمانية معتقدش إن مصر كانت تحركت بسرعة وكان حصل حصل فكرة فلما كنت تأجيل عارفة تتعامل مع لأمها فالتعامل مع عنف عنف ال الآن في الشارع فذات الرابع ليعتذر تكسبوا ركزت الصاروخ'
EGY,'لو لم تشكل يعني الموضوع'
EGY,'أعتقد إن ماتش الأهلي والترجي التونسي يواجه الكثير من التحديات شوية أثناء البطولة وصولهم إلى المراحل النهائية في هذه البطولة الأفريقية اللي تأتي بعد البطولة الأوروبية مباشرة من حيث القوة ومن حيث أيضا قوة العوائد التسوية للبطولة الأفريقية لكن النادي الأهلي ونادي الترجي التونسي تتعرض لتحديات كثيرة نتيجة الأوضاع السياسية اللي كانت بتمر بها كل من مصر وتونس وذلك في تراجع الإرادة التسوية لكل من الأهلي والترجي التونسي لكن يمكن خلوني أقول إن النادي الأهلي تأثر وبشدة نتيجة لأن النادي الأهلي أعتقد إنه عندما بيعت تسويقية جيدة وخاصة في مجال البث التلفزيوني يمكن عنده إرادة التسوية من البث التلفزيوني للبطولة المحلية وهي بطولة الدوري المصري بتصل إلى ثلاثة وثلاثين في المائة من إجمالي عواد التسويقية هذه العوائق توقفت لمدة موسمين متتاليين وأعتقد إن دي نسبة كبيرة من قبضة التسوية الجانب التاني أيضا لتأصل بنادي الأهلي تعاصر بأيضا الترجي التونسي كان بيتمثل في تذاكر دخول المباريات لئن الجمائل الأهلي لعب لفترة كبيرة بدون جمهور داخل المباراة الأفريقية أو داخل المباريات للدوري المحلي اللي كانوا بتقاوم وآخرها مباراة السوبر أيضا لعبت بدون تذاكر مباريات وبالتالي تأثرت العوائد التسوية من هذا القطاع يمكن القطاع د بمثل ما يقرب من سبعة عشرة في المائة من إجمالي العوائد لكن هو بس مش بس بقى صار به العوائد المباشر التذاكر الدخول لكن أيضا بيتأثر بمشتريات الجمهور اللي بيخوش هذه المباريات على سبيل المثال عندما يذهب الجمهور لمشاهدة مباراة الأهلي أو مباراة الترجي بيضطر بعض الجمهور لشراء الملابس اللي بتمثل الفريقين باعتبار إن دا بشكل انتماء للفريق بشكل أكبر مشاركة اللعيبة وهي بتؤدي في الملعب هناك جانب آخر وتأثر أيضا بشدة وهو جانب العقود الرعاية الرياضية للكل من الناديين لإن المباريات توقفت وبالتالي الحق وبتعتبر عار صارت وبشدة كمان أيضا إن الناديين تقصر بقوى بإطلاق مشروع تسوية جديدة يمكن أن هرباء الأندية في حالة فوزها على أرض الملعب بحال لها إيرادات مالية عندما كان يفوز النادي الأهلي المصري ببطولة الدوري العام كانت كلها عوائق تجارية وأربع تجارية من الشركات الراعية التي تسدد مكافآت الفوز للفريق وبالتالي توقف ذلك تماما نتيجة لعدم وجود بطولات قائمة بالفعل أعتقد إن ده تحديات أب لكل من تونس ومن مصر يمكن كان في تشابه في بداية الأحداث السياسية والاجتماعية أيضا في تشابه وتماثل في الأحداث الرياضية والآن سقفها بالنسبة للدولتين وخصوصا في بداية بطولة الدوري في تونس وبطولة الدوري في مصر تأثرت بنفس العوامل والمتغيرات اللي أدت إلى إلغاء بطولة في مصر لمدة موسم كامل وأيضا تأجيل البطولة في تونس أيضا بعض الفترات لكن البطولة الأفريقية أسهمت في إنعاش خزائن النادي الأهلي أسهمت في إشعال أه في إنعاش خزائن النادي الترابي التونسي فعندما يفوز أي من الناديين سوف أحصل على مبالغ مالية أعتقد إلى حد ما سوف تسهم في تطوير العوائد التسويقية في كل من النادي الأهلي والنادي الأفريقي التونسي على الفريق الأول أو الفريق الثاني وفي حالة وصول الفريقين إلى البطولة كأس العالم للأندية سوف أيضا يحصل كل منهم على تيارات عواء التسوية من خلال الاتحاد الدولي المنظم للبطولة هذه المبالغ المالية سوف تنعش خزائن كل من النادي الأهلي وخزائن التردي التونسي في حال التوفيق الأهلي وأتمنى أن يتم التوفيق النادي الأهلي بانتمائي له أيضا أه سوف أحصل على مبالغ مالية سوف تتمكن النادي الأهلي على الأقل من الحفاظ على الأصول وهي أهم أهم من ممتلكات النادي وهي اللاعبين يمكن فأصر اللاعبين لأني في مشكلة في العمر الزمني لاعب النادي الأهلي وأيضا لاعبي الترجي التونسي لارتفاع المستوى الأه السنة في النادي الأهلي أبو تريكة وبركات ووائل جمعة وهؤلاء اللاعبين لهم حدود عقود قد تمتد لمدة عام أو عامين متبقية في عقودهم وهذا أثر على مستواهم الفني وخبرتهم التفاوضية في إنه ما ياخدوا المبالغ المالية للتناسب مع إمكاناتهم الفنية سواء كان داخل النادي الأهلي أو خارج النادي الأهلي لكن دعونا نحنا في تقييمنا هو تقييمنا للأداء والتحديات التسوية اللوبي كل من إضافة إطراء دي وإدارة النادي الأهلي المصري أن نسجل كل احترام وتقدير لإدارة النادي الأهلي مجلس إدارته مماثل في كتب حسن كابتن الخطيب أيضا مجلس إدارة الترجي التونسي في النهوض ما قدروا يوصلوا للأدوار النهائية على الرغم من الدوليتين بني مر بظروف اقتصادية في غاية الصعوبة وكان له متنافسين من كل أرجاء القارة الأفريقية يمكن كانوا أكثر استقرارا من النواحي السياسية أكثر استقرارا في النواحي الاقتصادية'
EGY,'لو سمحتما بتخلينيش فيه معدلة إخوة صلاح تبع مين قال صراحة مجترح د ق د صالح قوات الشعب المسلحة هي قوات وطنية جيش وطني ممثل من كل الأصوات لكن قيامه وانضباطه والتزامه هما اللي بدور هذه الصورة وهذه الوضعية لكن ما منشأ وهوش لعميل إحدى هو تشويه جيش مصر ولما تشاور لجيش مصر يبقى سهل هدموا ولا من هدم جيش مصر يجب أن يهدم مصر'
EGY,'لو تسمحي لي أعدل شوية في صياغة ال كل المشروعات الحضارية والسياسية فمصر بتعبر عن نفسها في هذه الانتخابات الرئاسية حاجة ثانية في ال يعني في المدرسة ال الاشتراكية اليسارية في المدرسة القومية الناصرية في المدرسة الإسلامية في المدرسة الليبرالية في مدرسة البيروقراطية المصرية الخمس بدرس موجودين في ال في هذه المعركة الانتخابية ويمكن تصنيفها اختصارا إلى معسكرين معسكر المدافعين عن مدنية الدولة وبناء الثقة أل أل المدافعين عن دولة غير مدنية إما هذه الدولة غير المدني عند البعض دولة دينية وعند البعض الآخر دولة عسكرية و عند البعض الثالث مدنية عسكرية أي جنرال يرتدي عمامة هذه الاتجاهات الأساسية الموجودة في مصر الآن وهذه هي أهمية هذه المعركة أنها ليست معركة مائة حول شخص من يجلس على كرسي الرئيس في مصر رغم أهمية هذا الموقع تاريخيا باعتبار إنه مصر دولة مركزية بنتي إذ وإنما هي معركة في العنق حول هوية مصر هذه المسألة الأساسية التي يجري الصراع حولها الآن'
EGY,'لوالدي للتامينات تدخل فيها مع إسرائيل الحظ المصدر نفسه ص بديل يعني ضعف روستكر والدليل انتشار المخدرات بكل أنواعها وبداية انهيار تام كثيرها هادي يوسف جديدة'
EGY,'ليش خلال الفترة الأخيرة بس ولكن خلال السنتين الثلاثة الأخيرة لعل المبارة النهائية الحياة نادي الأهلي كسبت كسب نادي الترجي تنسف واستطاع 2 1 واستطاع أن هو يؤدي بشكل جيد جيد وأعتقد أنك أنت حسام البدري ح يعتمد على نفس اللاعبين أه مذابح برضو أشرت أنه هو في مباراة مباراة النادي الأهلي بالطب ضد بتروجيت إن الأهلي بوردو كسبت واحد ولكن كانت الأهم من الندية كان أداء معظم ملعب النادي الأهلي كل الثقة وكله حيوية الحقيقة كتب حسام عمل تشكيلة أه ما بين الخبرة وما بين الشباب الحازم وكان ماشي خلال الفترة الأخيرة فأعتقد أن الأهلي عند حدود جيدا جدا خصوصا أنه هو المبارة الأولى اللي راح يلعب من ال اللي كزبائن الباطل لمواجهة أوكلاند بالضبط كده فأعتقد إن إحنا لعبنا على فكرة أوكلاند دكدوك سنة ونصف أه البطل اليابان النادي الأهلي يعني لاعب أوكلاند بكذا وكذا بتنصرف الفنيين في البطولة الأولى أه النادي الياباني أعتقد هو الأقوى وهو الأقرب للوصول لعدد ضد النادي الأهلي فإذا كان إذن نادي الأهلي فاز على الفريق الياباني حيبقى وصل للمباراة ال قبل النهائي أو وقد ت و والمباراة قبل النهاية حيكون لها حسابات أخرى خالص الحي'
EGY,'ليبيا يعني يحصل بهدية جمل كل نسمع عنهم إنهم تقع المعارك بيت لمشرف في الميدان بادال وقت البحرية الشمس منصور يعني متوسط سن أصغر أه أه أعلام مصر تنظر رأسه احتفالات تنطيط وإيه كل واحد لوحده كده المدني خلقوا حالة في الميدان'
EGY,'ليه إزاي ما فيه جهاد العنف ويرد المحافظ على حقوقهم وإذا بطلبية الائتلاف للشعب التونسي'
EGY,'ليحلوا محل الفصل الطيب يحل محل فصلهم ونشاط عندهم عمل عند ربيع ياغي أن تربية فنية في معمل العلوم بطرق الفصل من ال يتنقل من مكان لمكان وقوع عملية مؤثرة جدا على تحصيل الطالب أو على استقرار ما كان معي'
EGY,'ليكشف عن مساندة جنيه'
EGY,'لينا تجاوب غير عادي من المواطنين ومن ربات البيوت اللي كانوا نازلين يشتروا الخضار أه أه كل الناس تقريبا اللي كانوا في السوق انضموا للمظاهرة وحتى هو وهم يحكم أ و وبها'
EGY,'ليس بالضرورة إتفاق لكن الواقع يقول كما أشار زميلي أنه أه هذا واقع اليوم أن في مصر الشعب المصري أخطار أغلبية إسلامية عقده هذا واقع فيجب أن نتعامل مع هؤلاء من تم ممن قاموا بتشكيل البرلمان وربما ربما أه أيضا الحكومة أو ربما يصبح هناك رئيس ذو مرجعية إسلامية يجب أن نتعامل مع هذا و وحينما نقول ذلك أه ليس معنى هذا إقصاء أو تهميش للقوى السياسية الأخرى إذا كانوا ليبراليين أو يساريين لا الكل له احترامه والكل له أه وضعوا لكن نحن نقول أن من الطبيعي أن الدول تتعامل مع المعطيات والواقع الموجود وهو ودا أمر طبيعي'
EGY,'أعتقد إنه أنا من الأول يعني أنا عندي ثقة انه هينجح لأن المسألة الحقيقة لا تتعلق لا بإعلان دستوري ولا بوثيقة دستورية ولا بجمعية تأسيسية الماء المسألة تتعلق بأهداف سياسية ضيقة جدا وأنا شوفت بالحياة في الجمعية التأسيسية أن البعض'
EGY,'ليس بالضرورة من الإخوان رشحوا حد إن هذا سينغ فإن كليبولد مرشح سقوط والجماعة تدخل في مأزق'
EGY,'ليس هناك أي شيء من هذا القبيل وهذه الإشاعات مستمرة وأنا شاهدتها قبل ذلك و في الحكومات السابقة وأكل حراك إن شاء الله ربنا وفقنا فيما نقوم به لمصلحة هذا الوطن ونستمر يعني إلى أن يشاء الله سبحانه وتعالى أنه غادر'
EGY,'ليس هناك ما يقوم به بهذا حتى الآن ما أعتقد الشماعة على أي حال أنا لست ممن يفضلون الفكرة أن يحدث كتلو إنه بالضرورة في التوافق كلاب رأي أن تجرى انتخابات بين جميع المرشحين وهذه الديمقراطية وخلينا يعني مغاربي المشكل'
EGY,'ليس لدينا أولا حتى نملأ هذه الأماكن الأماكن والمواقع كثيرة جدا إحنا نقول كلام واضح جدا هناك رموز النظام السابق هؤلاء الرموز هم الذين أفسدوا حياة سياسية واللي عليهم جرائم جرائم نهب مال جرائم أخذ حقوق جرائم كذا وكذا وكذا هؤلاء سيحاسبون وفقا للقانون الطبيعي وليس هناك قانون استثنائي نحن رفضنا أن تكون هناك محاكم استثنائية رفضنا أن يحال المدنيين إلى محاكم عسكرية بغض النظر عن الجرائم للتفاوض لكن هناك كم كبير جدا من أعضاء حزب الوسط الذين لم يشتركوا في إفساد الحياة سياسي الذين لم يقوموا بإجراء ربما كانوا مشاركين بشكل أو آخر متقدمين بعضوية الحزب الوطني هؤلاء أبناؤنا وإخواننا'
EGY,'ليس لدينا تحفظ لها على وزارات بعينها ولا عينينا على هذا الرد عنا نحن نريد أن يكون هناك فريقا متعاونان يستطيع أن يخرج من الأزمة التي فيها إلى مستقبل زاهر نريد جميعا وبالتالي نحن نتصور إن المرحلة القادمة مرحلة تحتاج إلى نوع من التوافق والتكامل بين هؤلاء أهم بكثير جدا ممن يكون هنا أو يكون هناك'
EGY,'ليس قيادي ببساطة شديدة فتحت الأسواق أمام كل منتجات العالم بما أي إلى أي عوائق بموجبه قوات الحماية تلقي وأما فيما يطلق عليه قواهم الإستعراض إذا كنا نقيم تستغل هذه القيمة كانت تشمل أصلا في المحظور استمرت اللي بيقابله إن ذلك ما حل مش أروح على صناعة ناشئة أخليت قبل عملاق الزك فأصبحت بلا حماية'
EGY,'ليوم 25 يناير فكل شواغلنا بقتل الناس من اغتيالات ناس بغرفة واحدة الطائرة فيها اسكت بيلتفت من أمن الدولة ملازمي عندكم ما فيش حد ينزل كل ما يمكن بعديهما عارفين إيه اللي بيحصل فنقل بالفعل بالتحليل في القصر العيني أوكلاند وتم للنازيين شفناها بكذا أو غزة عارفينها ولازم'
EGY,'مش ألبان لكن نجح نجاح طيب يدفعنا نحن نقيم التجربة ونحسن فيها والتوسع فيها فالموضوع بتجهيز من دمنا و يعني هذا موضوع بحدود وفنا 5 6 مليار وهكذا في جميع أنواع الوقود وهكذا في الطاقة وهكذا في كل شيء'
EGY,'مش عايزة كلام طبعا إحنا كنا أو الشرطة كانت تتعامل بالسياسة مزورة لكن إحنا خدنا عهد على نفسنا نحنا لم أتعرض منذ ال المظاهرة ولم أتعرض لاعتصام سلمي طالما إنه الناس تعبر عن آراء'
EGY,'مش هذه القضية هل نقدر الجزء ده بدايات تطمينات يعني أه أه أه في صديق اللي أنا جمعت أساسية لعامل حادة ترضيني أنا حدث دي أهم حاجة يعني يعني'
EGY,'أعتقد إنه هاي عكسه في أنه يدبر مراكز القرار على الانضباط إلى داخل المركز السياسي للدولة بينما ما يجري في الإطار الخارجي هو أخطر الآن هو ينقل آلياته المدرعة ويغادر أو ويهجر جبل الزاوية ويتجه إلى حلب ربما لأنه لا يملك أن ينقل قطاعات كبيرة من حول دمشق وينقلها إلى معركة حلب الآن ربما كما نشاهد لدينا معارك في دمشق كما هي الصورة واضحة برزة والقابون في الشمال وصورة الحرم الحجر الأسود والتضامن في الجنوب ولدينا معارك كانت تجري في بلدة التل في شمال دمشق العاصمة ربما بهذه الصورة التي تتواجد عليها بات مركز صنع القرار مجمهود بتأمين ربما أن منطقة محيطة به وأصبح حل غير متفرغ تمام لما يجري في الخارج ربما هذه تسمى عمليات الخطوط ال خارجية وبالتالي علينا أن ندرك أن ما يضر في دمشق وفي صالح حلب بالدرجة الأولى'
EGY,'مش كل الأماكن فاصلاح تاكسين فير يرو ح لت بالتاكسي تضطر كثير من الكافيهات توصل السكان الناس بيقول الناس أنا موجود في الكافي الفني الفلاني أو في المكان الفلاني مستنيكم للطب التاكسي'
EGY,'مش من المبالغ نحنا لم لم ويقول إن النقطة دي غير مصر أفكر نستفيق متصورين موضوعات باستقرار مصر في بداية الثورة إن أصبح للموضوع لو لم يكن هناك إعلام أو لا لم يكن نسلم تلك الطل لقطة موجودة في أو كم انتشارها ونشرها بشكل كبير كان يمكن أن يغير فمصر الصورة مصرية ويمكن مصر الثورة العربية بشكل كبير'
EGY,'مش مرة واحدة من كل شهر'
EGY,'مش مرتين الكلامي ربنا مش مهم وائل والتزاما محمد القصاص من الجهاد عبد الواحد'
EGY,'مشايخ تتوتر تماما من حق التملك لم تكن حركة 9 مارس وحركة شركتي وحركة الجهاد كل حركات لارقى بالتواريخ وهنا أنا يكفيني أن تظل رقم 3 فبراير تكتل هذا على أساس وهو أقنع مرتزقة واستنباط كلمتها ما حصل في تفجر حصل من بعد ثواني تفضل'
EGY,'مشعل المصريون غير مسيس مهمان ويعني وبعد كده بعض الصعوبة في كميات ضخمة جدا من المستوحات الساسة للناس نسبة 2 1'
EGY,'مشكلة القبائل يعني يعني هل من يحكم في الكويت مثلا من نفسهم الشايف التكتلات القبلية عفوا أو اللي بيصدر القرارات يعني أكبر من أكبر القبائل في الكويت لم تغير والعوازم يأخذوا الأعضاء لأنهم شعروا والده متكاتفين حاجة كأنه ما في غوانتنامو وسائل الإعلام كأنه استفزاز لكل إنسان أن يخرج ويتظاهر ضد هذا النظام وبعدين تقول لي والله إحنا بندين ضمانات لآل الصباح كافة الضمانات وأنتم تستفز الشعب والناس'
EGY,'مشكلة دائما بميونيخ أه أو لبيب إما بحب الكولسة والشكل الحلول ارتابوا والأوراق المحترمة وقوية إما يكتب بذلها خصوصا إن إحنا كمان العالم العربي يعني إحنا كمصريين عندنا من دفع قمار كهلور والحبر برضه عليمة وفيدرو أه ولا وبنستورد فيدماير كوبر سيحتجزون صغيرة لكن البلد ما بتدعمش'
EGY,'مشرف الله وبالتالي الاعتماد على إننا إنسان كويس طيب سانكويست خصبين أكبر بنا تدخل كدا لكن ضارة الدول والأوطان يجب أن تمر بضوابط وبقواعد أه أه تضبط وتراقب هذا رئيس دولة'
EGY,'مشروع لبناء مجموعة خالص مدرسين هم بيجوا بتفهم عام منذ إدارة المدرسة يعني نأخذ مثلا أنه جزء من حسن مثلا الأخيرة أو نهاية اليوم الدراسي بيبدأ نوماتا لم الولاد وكذا مش بيعتبرونا لأ خالص بالعكس إحنا نستفيد أكثر يعني إحنا نستفيد والدول طلب عدنا بيستفيدوا جدا'
EGY,'أعتقد أعتقد الإخوان عندهم قدرة على أن هما ي صيغ الخطاب يضرنا 108 أعتقد الموضوع ليس بهذه الصورة'
EGY,'مشروع يحصد إحنا لمدرسته حسد إحنا مدرسة أيديه تجربة موجودة في تركيا مزنرون في المرحلة الثانية وخلت الجنوب التركي ودخلنا لم فصول وحول نعلم يعني يحلم بالزاي يحلم بجد'
EGY,'مؤسسة وطنية قائمة على فكرة واحدة إنما لا أقبل تبرعات أقدمت مجموعة من فشلنا أنقذ فريدة من أن يتساوى لبنان أتساوى العالية'
EGY,'ما أتحرك أنا مهندسين فالمواجهات التفاصيل يعني يعني تسلسل الأحداث فاختفى من الشام على الساحة'
EGY,'ما بدء الألفية الجديدة والنجاح عام عام لزامر تقبل على الأصواني وأن تكون عباس العبد الأحمد الأيدي انتعاش صناعة النشر في الجيل الجديد مهتمة جدا بموضوع النقاش بموضوع المذيعات بالموت والله أعلم بيعمل بالتستر بقى كل اهتمامه منصبا على الموضوع دا شعلة السياسة يعني كان مهتمين بال الشارع الثقافي والأدبي بس بالتحديد'
EGY,'ما عنديش أدنى شك إيقاظه'
EGY,'ما فيش في المكان لنعيش في أي ساحة للفن الفن إن عزل ودخل جوه واقاتل أه هو ما سيحدث فكرت كثير فيها وقته ووقت المجال بتاعي بالجريان وبالناس وب ال وسكان الحي وأه قررت إن أنا أعمل حاجة زيي كبري وصل ما بين الفن وبين رجل الشارع العادي بعد حاجات كثيرة جدا والأه تموين مش متوفر وقلت أنا في عندي أوضة صغيرة على الشارع محل أه ممكن استخدمت وعملت فيها آدم خلال'
