@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R2-24,31-37,39-49'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute readability numeric
@attribute pureMSA numeric
@attribute pureEGY numeric
@attribute pureGLF numeric
@attribute pureLAV numeric
@attribute pureNOR numeric
@attribute Conjunctions numeric
@attribute typeTokenRatio numeric

@data
EGY,96.102139,1,13,1,1,0,0,0.897436
EGY,128.050679,1,0,0,0,0,0,1
EGY,128.07247,1,3,0,0,0,1,0.846154
EGY,125.201698,1,1,0,0,0,0,0.666667
EGY,189.685522,0,2,0,0,0,0,1
EGY,115.809103,1,2,2,1,0,0,0.456522
EGY,79.698077,1,0,1,1,0,2,1
EGY,114.09622,0,3,0,0,0,0,1
EGY,108.364394,0,2,0,0,1,0,1
EGY,122.156698,0,1,1,1,0,0,1
EGY,91.190471,3,6,1,1,0,2,0.72973
EGY,110.778226,0,0,0,0,0,0,0.857143
EGY,110.065981,0,0,0,0,0,0,1
EGY,132.217415,0,0,0,0,0,0,0.75
EGY,124.694198,0,2,0,0,0,0,0.5
EGY,123.848365,1,2,0,0,0,0,0.25641
EGY,121.798524,0,0,0,0,0,0,0.888889
EGY,142.307893,0,1,0,0,0,0,1
EGY,157.44361,0,3,0,0,0,0,1
EGY,121.141698,0,1,0,0,0,0,1
EGY,106.035742,0,0,0,0,0,0,1
EGY,138.414151,0,0,0,0,0,0,1
EGY,119.143354,1,2,1,0,0,0,1
EGY,53.422271,0,20,3,0,3,0,0.947368
EGY,59.614841,1,28,1,0,0,0,0.871429
EGY,118.081817,1,1,0,1,0,1,1
EGY,85.686684,0,17,1,0,1,0,0.744681
EGY,117.104019,0,5,1,0,0,0,1
EGY,154.39861,0,0,0,0,0,0,1
EGY,199.776,1,13,2,0,1,2,0.8
EGY,144.696275,0,5,0,0,0,0,1
EGY,108.902176,1,9,0,1,1,0,0.961538
EGY,98.035411,1,14,1,0,0,0,0.313725
EGY,131.792691,0,2,0,3,1,0,1
EGY,88.214241,1,13,2,1,0,0,0.888889
EGY,199.776,0,14,0,1,0,1,0.851064
EGY,96.900742,0,2,0,0,0,0,1
EGY,42.397367,2,12,1,1,1,0,0.95122
EGY,91.273913,1,16,0,0,1,0,1
EGY,152.189419,0,0,0,0,0,0,0.714286
EGY,105.77347,0,7,0,1,0,0,0.8
EGY,94.751698,0,9,1,1,0,0,0.939394
EGY,159.141094,0,1,0,0,1,0,1
EGY,90.876823,0,16,1,0,1,0,0.829787
EGY,56.217036,1,13,1,1,0,0,0.86
EGY,166.504207,0,0,0,0,0,0,1
EGY,73.539191,2,18,3,1,0,0,0.886792
EGY,120.632029,1,4,0,0,1,0,1
EGY,109.627713,0,26,3,0,0,0,0.096649
EGY,92.243438,0,3,0,0,0,0,1
EGY,127.172176,0,2,0,0,0,0,1
EGY,112.24437,1,16,1,3,2,7,0.149367
EGY,157.44361,0,0,0,0,0,0,1
EGY,106.050622,0,0,0,0,1,0,1
EGY,108.854962,0,3,0,1,0,0,1
EGY,100.005264,0,0,0,0,0,0,0.181818
EGY,138.262773,0,4,0,0,0,0,1
EGY,-0.092973,6,35,2,1,3,0,0.867347
EGY,124.458889,1,27,0,9,1,0,0.067797
EGY,93.199124,1,6,1,1,0,0,0.862069
EGY,108.662837,0,0,0,0,0,0,1
EGY,73.435656,0,1,0,0,0,0,1
EGY,114.633794,2,0,0,0,0,0,1
EGY,110.778226,0,0,0,0,0,0,0.857143
EGY,132.217415,0,0,0,0,0,0,0.75
EGY,124.694198,0,2,0,0,0,0,0.5
EGY,123.848365,1,2,0,0,0,0,0.25641
EGY,122.156698,0,1,0,0,0,1,0.458333
EGY,157.44361,0,3,0,0,0,0,1
EGY,121.362742,2,5,3,0,0,0,0.296296
EGY,130.217176,0,1,0,0,0,0,1
EGY,114.857626,1,17,4,0,2,1,0.103846
EGY,108.662837,0,0,0,0,0,0,1
EGY,79.687811,0,2,1,0,0,0,1
EGY,92.482985,0,19,1,0,0,0,0.95
EGY,103.967117,3,29,2,1,1,1,0.300412
EGY,110.495358,0,1,1,0,1,0,1
EGY,142.278132,0,2,1,0,0,0,0.818182
EGY,103.891825,0,2,1,0,0,0,1
EGY,94.644962,0,4,1,0,1,0,0.896552
EGY,130.187415,0,5,0,1,1,0,1
EGY,167.642878,0,4,0,0,0,0,0.916667
EGY,129.194736,0,3,1,0,0,0,1
EGY,78.947584,1,19,1,0,0,1,0.88
EGY,88.251234,2,8,1,1,0,0,0.95
EGY,123.171698,0,1,1,0,0,0,1
EGY,113.499124,0,1,1,0,0,0,1
EGY,-99.13159,2,44,1,4,4,27,0.608333
EGY,83.497415,0,23,1,0,0,6,0.821429
EGY,61.872115,4,17,0,1,3,0,0.758621
EGY,51.483058,0,21,1,1,0,0,0.815385
EGY,165.504088,0,0,0,0,1,0,1
EGY,90.313051,1,3,1,1,1,4,0.842105
EGY,54.006027,1,29,1,0,3,2,0.903226
EGY,152.253904,1,3,0,0,1,0,1
EGY,124.596188,0,0,1,0,1,0,1
EGY,103.891036,0,3,0,0,0,0,1
EGY,105.751146,0,2,0,0,1,0,1
EGY,76.510834,2,6,1,0,3,0,1
EGY,92.500013,1,6,1,2,1,3,0.882353
EGY,61.053998,2,17,2,1,0,0,0.909091
EGY,104.646863,2,4,0,0,0,0,0.884615
EGY,82.32554,0,4,0,0,0,0,0.961538
EGY,85.616351,0,8,0,0,0,0,0.962963
EGY,115.763943,0,5,0,0,0,0,1
EGY,53.672396,0,0,0,0,0,0,1
EGY,135.516592,0,0,0,0,0,0,0.230769
EGY,109.976698,1,0,0,0,0,2,0.888889
EGY,111.05122,0,1,0,0,0,0,1
EGY,100.005264,0,4,0,0,0,0,1
EGY,142.322773,0,0,0,0,0,0,1
EGY,190.685641,0,3,0,0,0,0,1
EGY,81.278139,0,6,0,1,0,0,0.143678
EGY,199.776,6,91,5,3,1,3,0.017377
EGY,81.64247,8,23,3,1,7,1,0.081053
EGY,199.776,2,35,3,2,2,0,0.8
EGY,118.126459,0,1,0,0,0,0,0.285714
EGY,142.322773,0,1,0,0,1,0,1
EGY,130.232056,0,1,0,0,0,0,1
EGY,87.303994,0,12,0,0,1,0,0.30303
EGY,98.200333,1,31,2,1,1,0,0.304598
EGY,77.824069,0,1,1,0,0,1,1
EGY,79.709602,1,2,0,0,0,1,0.857143
EGY,26.850728,1,25,3,1,0,0,0.913793
EGY,74.677478,3,10,0,1,0,1,0.880952
EGY,49.162573,2,24,2,3,2,1,0.8875
EGY,110.778226,0,0,0,0,0,0,0.857143
EGY,159.141094,0,1,1,0,0,0,1
EGY,142.322773,0,0,0,0,0,0,1
EGY,132.217415,0,0,0,0,0,0,0.75
EGY,124.694198,0,2,0,0,0,0,0.5
EGY,123.848365,1,2,0,0,0,0,0.25641
EGY,122.156698,0,1,0,0,0,1,0.458333
EGY,102.786753,0,5,1,0,0,0,1
EGY,2.649848,4,42,0,1,1,0,0.835052
EGY,0.388935,2,26,0,2,6,1,0.83
EGY,106.060531,2,3,1,1,1,3,0.44
EGY,101.737029,0,7,1,0,0,0,1
EGY,137.441845,0,1,0,0,1,0,1
EGY,77.85383,0,0,0,0,0,0,1
EGY,37.229214,0,33,0,4,2,0,0.869048
EGY,108.288449,0,2,0,0,0,0,1
EGY,53.343168,2,27,1,0,2,0,0.8
EGY,128.050679,0,3,0,0,0,0,1
EGY,46.99712,1,24,0,0,3,1,0.855072
EGY,52.434814,0,26,1,0,1,0,0.866667
EGY,122.586075,0,7,0,1,0,0,0.9375
EGY,69.843657,0,15,0,0,1,0,0.764706
EGY,90.632176,0,16,0,2,0,0,0.822222
EGY,199.776,2,20,4,2,3,0,0.915254
EGY,78.437796,1,1,3,1,0,1,0.956522
EGY,84.743063,0,11,0,0,2,0,0.833333
EGY,56.816156,2,20,2,0,4,0,0.894737
EGY,80.601567,0,28,0,1,1,0,0.962963
EGY,104.45,1,2,0,2,0,0,1
EGY,82.599692,0,15,0,0,0,1,0.87234
EGY,148.368132,0,2,0,0,0,0,1
EGY,100.414754,0,2,0,1,0,0,1
EGY,77.512079,0,3,0,1,0,0,0.909091
EGY,130.271571,0,4,0,0,0,0,1
EGY,69.972543,0,0,0,0,0,0,1
EGY,169.35524,1,0,0,3,1,0,0.181818
EGY,95.915503,0,1,1,0,0,0,1
EGY,131.309151,0,5,0,1,1,0,1
EGY,73.435656,0,4,0,0,0,0,1
EGY,85.46328,0,12,0,1,1,1,0.972973
EGY,127.769272,0,2,0,1,0,0,0.9
EGY,115.678555,1,3,2,0,0,0,1
EGY,86.596792,0,2,1,1,0,0,1
EGY,138.414151,0,2,0,0,0,0,1
EGY,100.005264,0,4,0,0,0,0,1
EGY,62.688352,3,2,1,0,0,1,1
EGY,113.499124,0,0,0,0,0,0,1
EGY,199.776,4,80,6,8,1,0,0.204301
EGY,118.126459,0,2,0,0,0,0,1
EGY,106.9269,0,50,2,6,2,1,0.074495
EGY,128.050679,0,0,0,0,0,0,0.857143
EGY,70.74883,0,2,2,0,0,0,0.888889
EGY,69.313385,2,10,0,0,0,0,0.973684
EGY,96.900742,1,3,2,0,0,0,1
EGY,123.500285,1,5,1,1,2,4,0.444444
EGY,106.050622,0,0,0,0,0,0,1
EGY,139.564279,0,2,0,0,0,0,0.222222
EGY,170.519566,0,0,0,0,0,0,1
EGY,122.095007,1,11,1,0,1,0,0.426829
EGY,124.07419,2,40,0,4,0,1,0.022899
EGY,113.191588,0,1,2,0,0,0,0.923077
EGY,98.967943,0,1,0,0,0,1,1
EGY,103.975981,0,2,0,0,0,0,1
EGY,109.739688,1,3,0,2,0,1,0.192857
EGY,128.050679,0,2,0,0,0,0,0.7
EGY,108.035981,0,3,0,1,0,1,0.4375
EGY,76.508887,1,8,0,0,1,0,0.928571
EGY,111.05122,0,1,0,0,0,0,1
EGY,73.024988,3,4,0,2,0,1,0.961538
EGY,107.848631,0,1,1,2,1,1,0.306667
EGY,86.183407,0,2,0,0,0,0,1
EGY,114.09622,0,3,0,0,0,0,1
EGY,93.391721,1,18,0,1,1,1,0.439655
EGY,143.970522,0,3,0,0,0,0,0.4375
EGY,124.976729,1,7,1,1,0,1,0.285714
EGY,84.24269,0,2,0,1,0,0,1
EGY,132.545828,0,1,0,0,0,0,1
EGY,37.625056,2,28,4,1,0,0,0.903226
EGY,64.68553,0,26,0,1,1,0,0.920635
EGY,62.33122,1,23,0,3,0,1,0.877193
EGY,94.433924,1,0,0,0,0,1,0.194444
EGY,113.499124,0,1,0,1,0,0,1
EGY,85.225678,0,8,0,3,0,0,0.882353
EGY,91.885264,1,3,0,1,0,0,1
EGY,98.310705,0,5,0,0,0,0,0.692308
EGY,100.690321,0,3,1,4,0,0,0.821429
EGY,101.747598,0,4,0,1,0,2,0.956522
EGY,119.111698,0,2,0,0,0,1,1
EGY,63.733113,0,2,0,0,0,0,0.277778
EGY,199.776,2,38,3,1,1,0,0.761905
EGY,90.528513,0,4,1,3,0,1,0.954545
EGY,100.005264,0,1,0,0,0,0,1
EGY,98.49149,1,5,0,0,0,0,1
EGY,114.969855,1,3,1,0,0,0,0.833333
EGY,79.536952,4,7,1,0,0,1,0.954545
EGY,117.104019,0,2,0,0,1,0,1
EGY,110.778226,0,0,0,0,0,0,0.857143
EGY,132.217415,0,0,0,0,0,0,0.75
EGY,107.323736,0,0,1,1,0,0,1
EGY,152.189419,0,3,0,1,0,0,0.8
EGY,124.694198,0,2,0,0,0,0,0.5
EGY,123.848365,1,2,0,0,0,0,0.25641
EGY,127.568585,1,0,0,0,1,0,0.232143
EGY,122.156698,0,1,0,0,0,1,0.458333
EGY,89.556612,0,1,0,2,0,0,1
EGY,106.931524,1,15,0,1,2,1,0.137931
EGY,97.975264,1,11,0,0,0,0,0.146825
EGY,18.510788,10,25,3,0,2,3,0.795699
EGY,199.776,0,21,2,1,0,1,0.846154
EGY,59.190733,0,13,0,2,1,0,0.903846
EGY,119.620832,0,5,0,1,1,0,0.916667
EGY,103.349124,1,8,0,0,1,0,1
EGY,93.900383,0,1,0,0,0,0,1
EGY,107.323736,0,1,0,0,0,0,1
EGY,66.135737,1,15,0,0,0,2,0.787234
EGY,138.815228,0,2,0,0,0,0,0.933333
EGY,105.677568,0,2,0,0,1,0,1
EGY,100.696231,2,6,0,0,0,0,0.956522
EGY,118.838704,1,12,0,1,0,0,0.123188
EGY,114.633794,0,0,0,1,0,0,0.875
EGY,142.322773,0,3,0,0,1,0,1
EGY,97.975264,0,2,0,0,0,0,1
EGY,50.878239,1,16,0,3,2,0,0.945455
EGY,82.822997,0,2,0,1,0,0,0.956522
EGY,98.751551,0,1,0,1,0,0,0.833333
EGY,75.956232,2,25,1,1,1,0,0.970588
EGY,74.885098,0,2,0,0,1,3,0.769231
EGY,66.019708,0,23,3,0,1,7,0.857143
EGY,71.303856,3,9,3,1,0,0,1
EGY,106.618165,2,5,5,0,1,0,0.388889
EGY,103.891825,1,2,0,0,0,0,0.818182
EGY,78.590855,4,28,1,1,1,4,0.43662
EGY,123.171698,0,0,0,0,0,0,1
EGY,124.234183,0,3,0,0,1,0,1
EGY,17.790264,0,30,2,1,1,3,0.833333
EGY,121.478322,0,0,0,0,0,3,0.818182
EGY,74.821234,1,4,0,0,1,1,0.806452
EGY,95.133639,0,5,2,0,0,0,0.96
EGY,81.592036,0,2,1,1,0,0,1
EGY,81.809666,0,0,0,0,0,0,0.833333
EGY,136.277415,0,0,0,0,0,0,1
EGY,125.291502,0,6,0,1,1,0,0.481481
EGY,129.93258,0,2,0,0,0,0,1
EGY,199.776,4,27,3,2,1,2,0.858491
EGY,66.710389,2,6,1,0,0,0,0.911765
EGY,82.974513,2,5,2,0,2,0,0.842105
EGY,50.627396,2,0,0,0,0,0,1
EGY,88.805587,1,8,1,0,3,0,0.965517
EGY,99.24076,0,10,1,1,2,0,0.5
EGY,199.776,0,47,2,2,1,3,0.412214
EGY,117.29517,0,2,0,1,0,0,0.904762
EGY,165.504088,0,0,0,0,1,0,1
EGY,96.482837,2,19,0,1,2,1,0.098522
EGY,83.901761,1,2,1,2,0,0,0.869565
EGY,85.839905,2,1,0,0,0,0,1
EGY,76.313274,1,10,0,0,2,0,0.75
EGY,98.593498,0,4,0,1,2,0,0.869565
EGY,106.050622,0,2,0,0,0,0,1
EGY,97.796698,0,3,0,1,0,0,0.866667
EGY,89.73622,0,2,0,2,0,0,0.933333
EGY,76.276712,2,22,1,0,1,1,0.981132
EGY,99.545047,0,7,0,0,0,0,0.9375
EGY,173.564566,0,2,0,0,0,0,1
