@relation textClassifier-weka.filters.unsupervised.attribute.Remove-R26-34

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute uniqueTags numeric
@attribute /CD numeric
@attribute /DT numeric
@attribute /DTJJ numeric
@attribute /DTJJR numeric
@attribute /DTNN numeric
@attribute /DTNNP numeric
@attribute /DTNNS numeric
@attribute /IN numeric
@attribute /JJ numeric
@attribute /NN numeric
@attribute /NNP numeric
@attribute /NNS numeric
@attribute /NOUN numeric
@attribute /PRP numeric
@attribute /RB numeric
@attribute /RP numeric
@attribute /UH numeric
@attribute /VBD numeric
@attribute /VBN numeric
@attribute /VBP numeric
@attribute /WP numeric
@attribute /WRB numeric
@attribute readability numeric
@attribute Adverbials numeric
@attribute Adverbs numeric
@attribute ConjSub numeric
@attribute Conjunctions numeric
@attribute Demonstratives numeric
@attribute Modals numeric
@attribute Negation numeric
@attribute Particles numeric
@attribute Prepositionals numeric
@attribute Prepositions numeric
@attribute Pronoun numeric
@attribute Quantitives numeric
@attribute QuestionWords numeric
@attribute Relatives numeric
@attribute StopWords numeric
@attribute typeTokenRatio numeric

@data
EGY,18,1,2,6,0,17,1,1,20,13,58,11,1,4,2,3,3,0,9,0,14,4,0,50.976139,0,2,0,1,0,0,1,6,1,16,2,0,7,7,33,0.274621
EGY,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,81.496134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45
EGY,9,0,0,1,0,1,0,0,3,1,4,9,0,0,1,0,2,0,3,0,0,0,0,104.424133,0,0,0,0,0,0,2,1,0,1,1,0,0,0,5,0.396552
EGY,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,121.141698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,93.959905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,11,1,0,1,0,2,1,0,4,1,5,3,0,0,0,0,0,0,1,0,4,1,0,141.675147,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0.461538
EGY,13,0,2,0,0,3,2,0,5,3,22,9,0,0,3,0,1,0,6,1,6,3,0,48.560471,0,0,0,0,2,0,0,0,0,4,0,0,3,2,12,0.842857
EGY,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,142.322773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
EGY,12,0,0,0,0,2,2,1,1,1,9,6,1,0,1,0,0,0,1,0,5,1,0,35.158043,0,0,0,1,0,0,1,4,0,0,1,0,0,0,5,0.935484
EGY,12,3,0,2,0,4,2,1,7,2,14,21,1,0,0,0,0,0,6,0,1,0,0,63.118076,0,0,0,0,0,0,1,1,1,6,0,0,2,2,10,0.892308
EGY,12,3,1,1,0,8,1,0,8,7,29,11,2,0,0,0,0,0,9,0,0,1,0,20.919626,0,0,0,1,0,0,0,3,2,7,0,0,2,2,14,0.847059
EGY,12,0,1,0,0,1,3,1,1,1,10,3,1,0,2,0,1,0,2,0,0,0,0,76.033407,0,0,0,1,0,0,3,2,0,0,2,1,1,0,9,0.833333
EGY,6,0,0,0,0,2,1,0,2,0,3,4,0,0,0,0,0,0,1,0,0,0,0,94.590485,0,0,0,0,0,0,0,0,0,2,0,0,2,2,3,0.923077
EGY,10,0,0,2,0,3,0,0,2,4,16,9,0,0,1,0,1,0,2,0,3,0,0,64.838646,0,0,0,2,0,0,2,0,1,1,1,1,2,1,10,0.8
EGY,11,0,0,0,0,1,2,4,2,0,12,8,1,2,0,0,1,0,1,0,3,0,0,90.335257,0,0,0,0,0,0,1,0,0,0,0,3,1,0,8,0.439024
EGY,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,172.549566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,5,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,138.414151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EGY,10,0,0,1,0,2,0,0,0,1,11,4,2,0,0,0,1,0,5,0,2,2,0,104.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.469697
EGY,9,0,0,0,0,0,1,0,1,0,2,5,0,0,1,0,1,0,4,0,1,1,0,135.173132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EGY,9,0,0,0,0,0,0,0,4,3,15,2,0,2,0,1,0,0,5,0,3,2,0,63.629846,0,0,0,1,0,0,0,1,0,3,0,2,4,3,8,0.853659
EGY,6,0,0,0,0,1,0,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,156.398849,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1
EGY,6,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,103.587837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,12,0,2,0,0,7,1,0,7,4,24,6,0,1,0,0,1,0,4,0,8,2,0,35.432086,0,0,0,3,0,0,3,1,0,7,1,1,2,2,15,0.811594
EGY,5,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,120.126698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
EGY,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,155.784613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35
EGY,11,0,0,0,0,2,1,0,3,3,11,7,0,0,1,0,1,0,2,0,4,1,0,90.521808,0,0,0,1,0,0,2,2,0,1,0,1,2,1,5,0.871795
EGY,13,1,0,0,0,9,4,1,11,1,34,25,1,0,1,0,1,0,8,0,4,0,0,92.680382,0,0,0,2,0,0,1,2,1,8,1,0,6,2,17,0.208333
EGY,14,0,1,3,0,12,1,1,9,2,13,12,0,0,7,0,4,0,2,1,3,0,0,41.001339,0,0,0,7,1,0,1,2,0,7,3,0,3,5,20,0.772152
EGY,7,1,1,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,115.678555,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1
EGY,8,1,1,0,0,1,0,1,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,105.9911,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,1
EGY,11,0,2,0,0,3,1,0,7,2,16,5,0,1,0,0,0,0,3,0,6,2,0,114.797948,0,0,0,1,0,0,1,1,0,2,0,1,1,3,11,0.207547
EGY,6,0,0,0,0,1,0,0,2,1,5,0,0,0,1,0,1,0,0,0,0,0,0,119.28001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
EGY,11,0,0,1,0,4,1,0,3,2,9,5,0,0,1,0,1,0,0,0,4,1,0,98.789377,0,0,0,2,0,0,1,0,0,2,1,0,1,1,9,0.96875
EGY,12,0,1,0,0,6,1,1,2,0,17,1,2,0,2,0,1,0,0,0,1,2,0,59.233513,0,0,1,0,0,0,0,2,1,0,2,0,2,1,9,0.95
EGY,7,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,2,0,0,118.096698,0,0,0,0,0,0,0,0,1,2,0,0,1,1,3,1
EGY,13,2,0,1,0,7,1,0,7,2,28,8,3,1,0,0,1,0,4,0,1,0,0,39.4121,2,0,0,0,0,0,0,3,0,4,0,1,1,0,11,0.783784
EGY,13,0,0,1,0,1,1,0,3,1,5,2,1,1,0,0,3,0,4,0,3,2,0,116.864568,0,0,0,0,0,0,0,0,0,3,0,0,0,2,7,0.27957
EGY,10,0,1,1,0,3,0,0,3,1,13,3,1,0,0,0,1,0,0,0,3,0,0,124.22106,0,0,0,1,0,0,1,0,1,3,0,0,1,1,7,0.152381
EGY,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,154.39861,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EGY,7,1,0,0,0,1,0,0,3,2,7,1,0,0,0,0,0,0,2,0,0,0,0,143.707756,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1
EGY,13,0,1,1,0,5,0,1,5,4,25,8,3,0,1,0,0,0,5,0,2,1,0,55.956143,0,0,0,0,1,0,0,0,1,3,0,0,0,0,7,0.83871
EGY,12,0,0,2,0,3,1,1,1,5,13,6,1,1,0,0,0,0,2,0,2,0,0,37.198646,2,0,0,1,0,0,0,3,1,2,0,1,2,1,7,0.948718
EGY,4,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,108.662837,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
EGY,9,0,0,0,0,0,0,0,1,3,14,6,1,0,1,0,0,0,3,0,2,1,0,83.675981,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.90625
EGY,13,0,0,2,0,7,1,1,3,5,19,11,3,0,1,0,2,0,5,0,3,0,0,87.87702,1,0,0,3,0,0,3,0,2,4,1,0,2,1,5,0.275556
EGY,5,0,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,117.104019,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,1
EGY,6,0,0,0,0,1,0,1,0,2,12,1,0,1,0,0,0,0,0,0,0,0,0,92.512329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.944444
EGY,12,1,0,0,0,6,3,1,7,3,13,24,0,0,0,0,0,0,5,1,3,1,0,109.805921,0,0,0,2,0,0,1,0,0,4,0,0,2,2,8,0.12218
EGY,6,0,0,1,0,0,0,0,0,0,7,3,0,1,1,0,0,0,0,0,1,0,0,127.85466,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1
EGY,5,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,57.672874,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
EGY,5,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,49.612396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EGY,11,0,1,1,0,5,0,0,1,5,37,17,4,2,0,0,0,0,10,0,1,0,0,19.570679,0,0,0,6,0,0,0,3,4,3,6,2,0,0,16,0.814433
EGY,11,0,1,3,0,2,0,1,2,6,21,4,2,0,0,0,0,0,3,0,0,1,0,58.211351,0,0,0,3,0,0,1,0,1,1,0,0,0,0,6,0.833333
EGY,13,0,0,0,0,4,2,0,4,7,20,6,4,0,1,3,1,0,7,0,1,1,0,39.185148,3,1,0,3,0,0,1,5,0,4,2,0,3,2,14,0.822581
EGY,11,0,0,2,0,6,1,0,4,3,14,6,1,0,0,0,0,0,7,0,4,1,0,64.153908,0,0,0,0,0,0,1,1,0,4,0,0,1,1,4,0.980392
EGY,12,0,0,0,0,4,0,0,1,5,20,10,1,2,1,0,2,0,3,1,0,1,0,100.572807,0,0,0,1,0,0,1,1,2,0,0,1,0,0,7,0.185714
EGY,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,165.504088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,8,0,0,0,0,2,0,0,1,3,4,0,0,1,0,2,2,0,0,0,1,0,0,61.206393,0,1,0,0,0,0,1,0,0,1,0,1,1,1,4,0.941176
EGY,8,0,0,0,0,2,0,0,1,5,6,9,0,0,0,0,0,0,2,0,2,1,0,65.281792,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0.928571
EGY,12,0,3,0,0,6,0,1,4,3,12,2,1,0,1,0,2,0,2,0,6,0,0,85.726416,0,0,0,1,2,0,2,0,1,2,0,0,3,1,9,0.953488
EGY,4,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,2,0,0,0,0,0,0,147.114419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9
EGY,5,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,1,0,1,0,0,0,0,106.573316,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1
EGY,7,0,2,0,0,0,0,0,1,1,14,3,0,2,0,0,0,0,0,0,2,0,0,135.897114,0,0,0,1,0,0,1,0,1,1,0,1,0,0,4,0.107143
EGY,10,0,0,1,0,13,0,0,4,3,9,9,0,0,1,0,1,0,3,0,2,0,0,99.95773,0,0,0,6,0,0,1,3,0,2,1,0,2,1,8,0.277778
EGY,8,0,0,0,0,6,1,0,2,1,11,3,0,0,0,0,0,0,2,0,1,0,0,109.887415,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0.8
EGY,5,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,129.194736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.470588
EGY,8,0,0,0,0,1,1,0,2,1,5,2,0,0,1,0,0,0,1,0,0,0,0,130.75475,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,1
EGY,5,0,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,132.217415,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
EGY,4,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,150.368371,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
EGY,4,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,74.80883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,7,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,1,0,1,0,1,0,0,74.570117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,7,0,0,0,0,3,0,0,0,0,7,3,2,0,0,0,0,0,2,0,1,1,0,108.961698,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1
EGY,7,0,0,0,0,3,0,0,3,2,7,6,0,0,0,0,0,0,1,0,2,0,0,100.937183,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,0.96
EGY,12,0,0,2,0,3,0,2,3,5,8,4,4,0,2,0,0,0,1,0,1,2,0,78.858688,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.918919
EGY,3,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,117.104019,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1
EGY,9,1,1,0,0,2,0,0,0,1,6,5,1,0,1,0,0,0,1,0,0,0,0,101.325456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842105
EGY,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,178.594924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,10,0,0,0,0,1,2,0,1,2,11,13,2,1,0,0,0,0,4,0,1,0,0,59.131729,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0.947368
EGY,3,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,152.189419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,148.368132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EGY,9,0,0,0,0,2,0,1,4,1,4,2,2,0,0,0,0,0,3,0,2,0,0,111.412478,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0.954545
EGY,10,0,0,0,0,1,1,0,1,4,11,3,1,0,2,0,0,0,0,0,1,1,0,107.599302,0,0,0,0,0,0,1,0,0,1,1,0,1,0,4,0.870968
EGY,8,0,0,0,0,9,0,0,2,1,8,2,2,0,2,0,0,0,2,0,0,0,0,89.761282,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0.870968
EGY,6,0,0,0,0,4,0,0,2,0,5,3,0,0,0,0,0,0,3,0,0,1,0,102.598163,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1
EGY,9,0,1,0,0,3,1,0,0,1,5,7,1,0,0,0,1,0,0,0,3,0,0,97.841339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958333
EGY,7,0,0,1,0,1,0,1,2,0,8,2,0,2,0,0,0,0,0,0,0,0,0,131.870425,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.818182
EGY,14,0,0,2,0,7,0,3,7,2,18,13,4,1,1,0,1,0,9,0,2,2,0,68.674026,0,0,0,0,0,0,0,1,2,5,1,0,2,1,11,0.452703
EGY,11,0,0,2,0,4,2,0,7,0,23,16,2,0,4,0,0,0,4,0,6,1,0,116.59794,0,0,0,0,0,0,1,1,1,4,3,0,2,2,18,0.123932
EGY,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,114.232717,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.857143
EGY,12,0,0,2,0,6,1,0,4,5,13,6,2,0,0,0,2,0,1,0,5,0,1,55.470512,0,0,0,1,0,0,1,2,1,3,0,1,2,1,9,0.962264
EGY,12,1,0,3,0,3,1,2,2,1,13,0,0,1,0,1,0,0,1,0,1,0,0,97.296888,0,0,0,0,0,0,0,1,3,1,0,1,1,1,5,0.323232
EGY,9,1,0,0,0,3,0,0,2,2,8,3,2,0,0,0,0,0,2,0,2,0,0,113.383365,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.186667
EGY,14,0,0,2,0,8,1,0,4,4,26,31,1,1,2,0,0,0,4,1,5,3,0,128.832892,0,0,0,0,0,0,0,0,2,4,2,1,1,1,15,0.101839
EGY,14,0,0,2,0,24,1,2,15,10,83,22,5,3,0,0,1,0,7,1,15,0,0,199.776,0,0,0,0,0,0,4,1,5,8,0,1,6,5,36,0.046209
EGY,11,0,0,0,0,2,0,0,3,1,13,9,0,3,1,0,1,0,4,1,2,0,0,131.202728,0,0,0,0,0,0,2,0,0,2,1,1,1,1,6,0.444444
EGY,8,0,1,0,0,4,0,0,3,2,7,0,0,0,0,0,0,0,1,0,1,1,0,100.022717,0,0,0,0,0,0,0,0,1,2,0,0,2,2,3,0.714286
EGY,7,0,0,0,0,3,1,0,0,5,14,4,0,0,0,0,0,0,0,0,4,1,0,76.929155,0,0,0,1,0,0,0,0,1,1,0,0,0,1,6,0.891892
EGY,3,0,0,0,0,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,92.243438,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
EGY,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,146.338132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
EGY,6,0,0,0,0,1,0,0,1,0,3,3,0,1,0,0,0,0,1,0,0,0,0,135.023702,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1
EGY,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,28.475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,6,0,0,0,0,2,0,0,1,1,3,3,0,0,0,0,0,0,0,0,1,0,0,103.975981,0,0,0,1,0,0,0,2,0,1,0,0,1,1,3,1
EGY,14,0,1,1,0,4,0,0,4,2,13,2,0,2,1,0,1,0,2,1,2,1,0,78.131968,0,0,0,3,0,0,1,0,0,4,1,1,1,1,11,0.909091
EGY,10,0,1,0,0,0,1,0,1,1,9,7,0,0,0,0,0,0,6,1,1,2,0,87.318076,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.933333
EGY,5,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,122.156698,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
EGY,8,0,0,0,0,2,0,1,3,0,4,2,1,0,1,0,0,0,1,0,0,0,0,113.836573,0,0,0,1,0,0,1,0,0,1,1,0,0,0,3,0.85
EGY,4,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,105.9911,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1
EGY,5,0,0,0,0,2,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,2,0,132.187654,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1
EGY,7,0,1,0,0,1,0,0,4,0,4,0,0,0,1,0,0,0,1,0,0,1,0,116.911808,0,0,0,0,0,0,0,1,0,2,1,0,1,2,7,1
EGY,7,0,1,0,0,1,0,1,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,110.842268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
EGY,6,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,2,0,0,130.187415,0,0,0,2,0,0,1,1,0,1,0,0,0,0,3,1
EGY,9,1,1,0,0,1,0,0,1,0,6,1,0,0,0,0,1,0,1,0,1,0,0,128.500917,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0.8
EGY,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,154.41349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
EGY,9,0,1,0,0,4,0,1,2,0,2,1,0,0,0,0,0,0,3,0,2,1,0,78.27564,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,0.941176
EGY,6,0,0,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,96.810938,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5
EGY,6,0,1,0,0,2,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,108.364394,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
EGY,4,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,166.050075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,121.141698,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
EGY,11,0,0,0,0,6,0,0,6,8,25,5,0,1,4,0,2,0,2,0,5,1,0,102.767862,0,0,0,2,0,0,2,4,0,3,3,1,4,3,17,0.090909
EGY,8,0,0,0,0,1,0,0,1,1,6,1,0,0,0,0,1,0,1,2,0,0,0,114.036698,0,0,1,1,0,0,1,0,0,0,0,0,1,0,3,1
EGY,10,1,0,0,0,1,0,0,4,2,10,9,3,0,1,0,0,0,2,0,1,0,0,88.046949,0,0,0,0,0,0,1,0,0,4,0,0,1,0,6,0.823529
EGY,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,148.368132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
EGY,11,1,0,1,0,5,0,0,2,3,15,1,0,1,1,0,0,0,3,0,1,0,0,99.767176,0,0,0,0,0,0,1,0,0,2,0,1,1,1,3,0.888889
EGY,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,84.899308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,14,1,2,0,0,3,0,1,4,4,18,4,1,0,0,0,2,0,7,1,2,2,0,47.482971,0,0,0,0,0,0,1,5,0,1,0,0,1,3,9,0.170968
EGY,12,1,1,1,0,5,0,0,2,1,16,6,0,0,1,0,0,0,1,0,5,2,0,67.099357,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,0.977273
EGY,14,1,0,1,0,11,2,0,2,1,13,9,0,1,1,0,2,0,6,0,4,2,0,99.239724,0,0,0,1,0,0,0,0,3,0,1,0,1,0,7,0.842105
EGY,5,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,2,0,63.309769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178571
EGY,8,0,0,0,0,2,0,0,2,2,6,8,0,0,0,0,0,0,1,0,1,1,0,101.904441,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.92
EGY,15,0,2,3,0,11,2,1,7,1,31,16,1,2,0,0,1,0,6,0,5,1,0,30.257194,0,0,0,0,1,0,1,1,0,6,0,2,5,4,18,0.703704
EGY,6,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,115.61872,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.454545
EGY,6,0,0,0,0,0,0,0,1,0,6,2,0,0,1,0,0,0,0,0,2,1,0,141.093242,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1
