@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R2-24,26-49'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute readability numeric
@attribute typeTokenRatio numeric

@data
EGY,81.960819,0.96875
EGY,115.325233,0.947368
EGY,67.679233,0.93617
EGY,73.79508,0.9
EGY,65.763113,1
EGY,125.874947,1
EGY,199.776,0.416168
EGY,83.543004,0.689655
EGY,103.975981,0.846154
EGY,118.771919,1
EGY,92.730374,1
EGY,115.982542,0.205882
EGY,100.005264,1
EGY,113.71441,0.220238
EGY,93.959905,0.311111
EGY,175.594566,1
EGY,59.13227,0.904762
EGY,37.688365,0.945455
EGY,106.9269,0.074495
EGY,166.504207,1
EGY,132.187654,1
EGY,141.322654,0.15625
EGY,142.516845,0.416667
EGY,147.353132,1
EGY,110.778226,0.857143
EGY,124.694198,0.5
EGY,126.127415,1
EGY,81.869188,0.277778
EGY,123.848365,0.25641
EGY,92.243438,1
EGY,150.398132,1
EGY,70.117548,0.878049
EGY,122.577478,0.477273
EGY,102.873867,0.474359
EGY,122.246294,0.5
EGY,113.191588,0.261905
EGY,106.684997,0.125323
EGY,199.776,0.875
EGY,84.18296,0.777778
EGY,105.13111,0.316667
EGY,134.95966,1
EGY,186.670283,1
EGY,51.369272,0.836735
EGY,94.015327,0.5
EGY,108.009486,0.038679
EGY,39.020849,0.821429
EGY,44.777221,0.945455
EGY,124.186698,1
EGY,93.870622,0.875
EGY,120.096937,1
EGY,102.93866,0.875
EGY,107.323736,1
EGY,124.694198,0.5
EGY,122.156698,0.458333
EGY,84.107015,1
EGY,96.450595,1
EGY,124.694198,0.15
EGY,89.914786,0.428571
EGY,142.322773,1
EGY,137.680558,1
EGY,171.534566,1
EGY,148.368132,0.4
EGY,108.00622,1
EGY,93.959905,1
EGY,134.494756,0.909091
EGY,96.102139,0.897436
EGY,128.050679,1
EGY,128.07247,0.846154
EGY,125.201698,0.666667
EGY,189.685522,1
EGY,115.809103,0.456522
EGY,79.698077,1
EGY,114.09622,1
EGY,108.364394,1
EGY,122.156698,1
EGY,91.190471,0.72973
EGY,110.778226,0.857143
EGY,110.065981,1
EGY,132.217415,0.75
EGY,124.694198,0.5
EGY,123.848365,0.25641
EGY,121.798524,0.888889
EGY,142.307893,1
EGY,157.44361,1
EGY,121.141698,1
EGY,106.035742,1
EGY,138.414151,1
EGY,119.143354,1
EGY,53.422271,0.947368
EGY,59.614841,0.871429
EGY,118.081817,1
EGY,85.686684,0.744681
EGY,117.104019,1
EGY,154.39861,1
EGY,199.776,0.8
EGY,144.696275,1
EGY,108.902176,0.961538
EGY,98.035411,0.313725
EGY,131.792691,1
EGY,88.214241,0.888889
EGY,199.776,0.851064
EGY,96.900742,1
EGY,42.397367,0.95122
EGY,91.273913,1
EGY,152.189419,0.714286
EGY,105.77347,0.8
EGY,94.751698,0.939394
EGY,159.141094,1
EGY,90.876823,0.829787
EGY,56.217036,0.86
EGY,166.504207,1
EGY,73.539191,0.886792
EGY,120.632029,1
EGY,109.627713,0.096649
EGY,92.243438,1
EGY,127.172176,1
EGY,112.24437,0.149367
EGY,157.44361,1
EGY,106.050622,1
EGY,108.854962,1
EGY,100.005264,0.181818
EGY,138.262773,1
EGY,-0.092973,0.867347
EGY,124.458889,0.067797
EGY,93.199124,0.862069
EGY,108.662837,1
EGY,73.435656,1
EGY,114.633794,1
EGY,110.778226,0.857143
EGY,132.217415,0.75
EGY,124.694198,0.5
EGY,123.848365,0.25641
EGY,122.156698,0.458333
EGY,157.44361,1
EGY,121.362742,0.296296
EGY,130.217176,1
EGY,114.857626,0.103846
EGY,108.662837,1
EGY,79.687811,1
EGY,92.482985,0.95
EGY,103.967117,0.300412
EGY,110.495358,1
EGY,142.278132,0.818182
EGY,103.891825,1
EGY,94.644962,0.896552
EGY,130.187415,1
EGY,167.642878,0.916667
EGY,129.194736,1
EGY,78.947584,0.88
EGY,88.251234,0.95
EGY,123.171698,1
EGY,113.499124,1
EGY,-99.13159,0.608333
EGY,83.497415,0.821429
EGY,61.872115,0.758621
EGY,51.483058,0.815385
EGY,165.504088,1
EGY,90.313051,0.842105
EGY,54.006027,0.903226
EGY,152.253904,1
EGY,124.596188,1
EGY,103.891036,1
EGY,105.751146,1
EGY,76.510834,1
EGY,92.500013,0.882353
EGY,61.053998,0.909091
EGY,104.646863,0.884615
EGY,82.32554,0.961538
EGY,85.616351,0.962963
EGY,115.763943,1
EGY,53.672396,1
EGY,135.516592,0.230769
EGY,109.976698,0.888889
EGY,111.05122,1
EGY,100.005264,1
EGY,142.322773,1
EGY,190.685641,1
EGY,81.278139,0.143678
EGY,199.776,0.017377
EGY,81.64247,0.081053
EGY,199.776,0.8
EGY,118.126459,0.285714
EGY,142.322773,1
EGY,130.232056,1
EGY,87.303994,0.30303
EGY,98.200333,0.304598
EGY,77.824069,1
EGY,79.709602,0.857143
EGY,26.850728,0.913793
EGY,74.677478,0.880952
EGY,49.162573,0.8875
EGY,110.778226,0.857143
EGY,159.141094,1
EGY,142.322773,1
EGY,132.217415,0.75
EGY,124.694198,0.5
EGY,123.848365,0.25641
EGY,122.156698,0.458333
EGY,102.786753,1
EGY,2.649848,0.835052
EGY,0.388935,0.83
EGY,106.060531,0.44
EGY,101.737029,1
EGY,137.441845,1
EGY,77.85383,1
EGY,37.229214,0.869048
EGY,108.288449,1
EGY,53.343168,0.8
EGY,128.050679,1
EGY,46.99712,0.855072
EGY,52.434814,0.866667
EGY,122.586075,0.9375
EGY,69.843657,0.764706
EGY,90.632176,0.822222
EGY,199.776,0.915254
EGY,78.437796,0.956522
EGY,84.743063,0.833333
EGY,56.816156,0.894737
EGY,80.601567,0.962963
EGY,104.45,1
EGY,82.599692,0.87234
EGY,148.368132,1
EGY,100.414754,1
EGY,77.512079,0.909091
EGY,130.271571,1
EGY,69.972543,1
EGY,169.35524,0.181818
EGY,95.915503,1
EGY,131.309151,1
EGY,73.435656,1
EGY,85.46328,0.972973
EGY,127.769272,0.9
EGY,115.678555,1
EGY,86.596792,1
EGY,138.414151,1
EGY,100.005264,1
EGY,62.688352,1
EGY,113.499124,1
EGY,199.776,0.204301
EGY,118.126459,1
EGY,106.9269,0.074495
EGY,128.050679,0.857143
EGY,70.74883,0.888889
EGY,69.313385,0.973684
EGY,96.900742,1
EGY,123.500285,0.444444
EGY,106.050622,1
EGY,139.564279,0.222222
EGY,170.519566,1
EGY,122.095007,0.426829
EGY,124.07419,0.022899
EGY,113.191588,0.923077
EGY,98.967943,1
EGY,103.975981,1
EGY,109.739688,0.192857
EGY,128.050679,0.7
EGY,108.035981,0.4375
EGY,76.508887,0.928571
EGY,111.05122,1
EGY,73.024988,0.961538
EGY,107.848631,0.306667
EGY,86.183407,1
EGY,114.09622,1
EGY,93.391721,0.439655
EGY,143.970522,0.4375
EGY,124.976729,0.285714
EGY,84.24269,1
EGY,132.545828,1
EGY,37.625056,0.903226
EGY,64.68553,0.920635
EGY,62.33122,0.877193
EGY,94.433924,0.194444
EGY,113.499124,1
EGY,85.225678,0.882353
EGY,91.885264,1
EGY,98.310705,0.692308
EGY,100.690321,0.821429
EGY,101.747598,0.956522
EGY,119.111698,1
EGY,63.733113,0.277778
EGY,199.776,0.761905
EGY,90.528513,0.954545
EGY,100.005264,1
EGY,98.49149,1
EGY,114.969855,0.833333
EGY,79.536952,0.954545
EGY,117.104019,1
EGY,110.778226,0.857143
EGY,132.217415,0.75
EGY,107.323736,1
EGY,152.189419,0.8
EGY,124.694198,0.5
EGY,123.848365,0.25641
EGY,127.568585,0.232143
EGY,122.156698,0.458333
EGY,89.556612,1
EGY,106.931524,0.137931
EGY,97.975264,0.146825
EGY,18.510788,0.795699
EGY,199.776,0.846154
EGY,59.190733,0.903846
EGY,119.620832,0.916667
EGY,103.349124,1
EGY,93.900383,1
EGY,107.323736,1
EGY,66.135737,0.787234
EGY,138.815228,0.933333
EGY,105.677568,1
EGY,100.696231,0.956522
EGY,118.838704,0.123188
EGY,114.633794,0.875
EGY,142.322773,1
EGY,97.975264,1
EGY,50.878239,0.945455
EGY,82.822997,0.956522
EGY,98.751551,0.833333
EGY,75.956232,0.970588
EGY,74.885098,0.769231
EGY,66.019708,0.857143
EGY,71.303856,1
EGY,106.618165,0.388889
EGY,103.891825,0.818182
EGY,78.590855,0.43662
EGY,123.171698,1
EGY,124.234183,1
EGY,17.790264,0.833333
EGY,121.478322,0.818182
EGY,74.821234,0.806452
EGY,95.133639,0.96
EGY,81.592036,1
EGY,81.809666,0.833333
EGY,136.277415,1
EGY,125.291502,0.481481
EGY,129.93258,1
EGY,199.776,0.858491
EGY,66.710389,0.911765
EGY,82.974513,0.842105
EGY,50.627396,1
EGY,88.805587,0.965517
EGY,99.24076,0.5
EGY,199.776,0.412214
EGY,117.29517,0.904762
EGY,165.504088,1
EGY,96.482837,0.098522
EGY,83.901761,0.869565
EGY,85.839905,1
EGY,76.313274,0.75
EGY,98.593498,0.869565
EGY,106.050622,1
EGY,97.796698,0.866667
EGY,89.73622,0.933333
EGY,76.276712,0.981132
EGY,99.545047,0.9375
EGY,173.564566,1
EGY,101.91622,1
EGY,88.3302,0.954545
EGY,66.00113,0.956522
EGY,80.831868,1
EGY,84.891868,0.35
EGY,44.596918,1
EGY,114.09622,1
EGY,137.441845,1
EGY,15.452234,0.878788
EGY,65.718471,1
EGY,100.124933,1
EGY,137.680558,1
EGY,81.854308,1
EGY,57.687754,1
EGY,103.891825,1
EGY,89.855264,1
EGY,102.632985,0.9
EGY,53.672396,1
EGY,97.296888,1
EGY,58.115328,0.966102
EGY,174.579566,0.291667
EGY,98.967943,1
EGY,105.901817,0.833333
EGY,121.074736,0.875
EGY,118.335411,1
EGY,123.410828,0.944444
EGY,49.920295,0.928571
EGY,84.272534,0.95122
EGY,141.322654,1
EGY,79.594634,0.971429
EGY,150.35349,1
EGY,112.036459,0.46
EGY,79.927912,0.197917
EGY,199.776,0.814815
EGY,20.876417,0.740385
EGY,116.925453,0.8125
EGY,109.694271,0.4
EGY,91.348316,1
EGY,92.10142,0.935484
EGY,138.307415,1
EGY,100.528165,0.183784
EGY,98.87122,0.857143
EGY,141.868641,1
EGY,65.718471,1
EGY,142.516845,1
EGY,92.500013,0.823529
EGY,161.861992,0.5
EGY,154.39861,0.166667
EGY,111.05122,1
EGY,68.384019,0.844828
EGY,111.05122,1
EGY,158.384207,1
EGY,199.776,0.847222
EGY,71.714177,0.903846
EGY,99.321761,0.909091
EGY,148.368132,1
EGY,114.09622,1
EGY,93.505773,1
EGY,141.322654,1
EGY,111.409602,1
EGY,122.932985,0.909091
EGY,112.309042,0.125245
EGY,95.945264,1
EGY,100.005264,1
EGY,56.323897,0.43617
EGY,118.287655,0.130952
EGY,126.172056,1
EGY,108.364394,0.818182
EGY,29.824797,0.855072
EGY,99.483196,0.95
EGY,190.685641,1
EGY,82.32554,1
EGY,124.186698,1
EGY,142.307893,0.833333
EGY,130.026162,0.264957
EGY,124.186698,1
EGY,54.823763,0.938776
EGY,124.127176,0.916667
EGY,110.486761,0.727273
EGY,67.73093,0.930233
EGY,63.154296,0.941176
EGY,94.862066,0.43038
EGY,102.005503,1
EGY,97.975264,1
EGY,118.141339,1
EGY,135.023702,1
EGY,86.641097,0.967742
EGY,127.769272,0.9
EGY,166.504207,1
EGY,117.687207,1
EGY,130.217176,0.428571
EGY,126.186937,1
EGY,80.400726,0.903226
EGY,90.051283,1
EGY,186.670283,1
EGY,82.32554,0.846154
EGY,104.144811,0.928571
EGY,113.499124,1
EGY,111.320111,0.944444
EGY,70.917142,1
EGY,104.603046,1
EGY,53.597993,1
EGY,136.188132,0.888889
EGY,87.45433,0.9375
EGY,57.856709,0.820513
EGY,118.267574,0.5
EGY,111.05866,1
EGY,80.138049,1
EGY,133.262176,1
EGY,125.608755,0.875
EGY,152.189419,1
EGY,121.074736,1
EGY,107.102574,0.102564
EGY,116.46102,0.291667
EGY,65.281792,0.964286
EGY,146.338132,1
EGY,53.672396,1
EGY,86.400773,1
EGY,142.516845,1
EGY,144.308132,1
EGY,88.362837,0.96
EGY,115.029377,1
EGY,118.103884,0.194444
EGY,80.511069,0.215517
EGY,124.967733,0.1375
EGY,154.41349,0.08125
EGY,149.532562,1
EGY,127.414022,0.085714
EGY,133.254736,0.4
EGY,120.753555,0.5
EGY,62.240374,0.5
EGY,117.268955,0.731707
EGY,170.161392,1
EGY,184.640283,0.4
EGY,114.883386,0.458333
EGY,142.278132,0.909091
EGY,121.141698,1
EGY,136.686906,0.311111
EGY,131.918867,0.205882
EGY,29.101436,0.726316
EGY,132.232295,0.196429
EGY,125.470485,0.103896
EGY,122.932985,1
EGY,118.196761,0.5
EGY,137.680558,1
EGY,167.474566,1
EGY,98.34179,0.806452
EGY,117.667636,0.961538
EGY,110.234405,0.9
EGY,131.336808,0.119048
EGY,87.983322,1
EGY,77.034956,0.852459
EGY,79.147426,0.098675
EGY,129.581906,0.3125
EGY,73.79383,1
EGY,68.71883,0.909091
EGY,100.414754,1
EGY,49.269637,0.794118
EGY,124.186698,1
EGY,137.96872,0.142857
EGY,108.35719,0.173077
EGY,34.382748,0.896552
EGY,83.980659,0.486486
EGY,98.310705,0.846154
EGY,117.687207,1
EGY,14.816082,0.828283
EGY,112.556892,0.459459
EGY,123.66463,0.551724
EGY,88.930172,0.966667
EGY,133.254736,0.259259
EGY,107.323736,0.203125
EGY,132.545828,1
EGY,96.767325,0.472222
EGY,117.687207,1
EGY,132.844272,1
EGY,85.616073,0.933333
EGY,96.810938,0.5
EGY,154.39861,1
EGY,132.545828,1
EGY,117.687207,1
EGY,128.050679,1
EGY,169.526887,0.3
EGY,135.232654,1
EGY,87.825264,0.875
EGY,105.005861,0.138889
EGY,56.24122,0.684932
EGY,199.776,0.746032
EGY,95.945264,1
EGY,161.473849,0.15625
EGY,142.516845,0.416667
EGY,174.579566,1
EGY,122.156698,1
EGY,98.990264,1
EGY,69.972543,1
EGY,61.703113,1
EGY,149.383132,0.375
EGY,-54.909276,0.596154
EGY,98.967943,0.875
EGY,101.397142,0.305085
EGY,75.640926,0.923077
EGY,83.854547,1
EGY,91.034991,0.972222
EGY,160.458849,1
EGY,132.366845,1
EGY,110.021339,1
EGY,127.769272,1
EGY,166.504207,0.666667
EGY,86.313924,1
EGY,74.786509,1
EGY,131.50517,1
EGY,93.858875,0.106122
EGY,123.679198,0.3
EGY,99.483196,0.9
EGY,88.232701,0.941176
EGY,85.145113,0.928571
EGY,105.400471,1
EGY,101.520074,1
EGY,84.493808,0.88
EGY,106.050622,1
EGY,103.673226,1
EGY,128.007985,1
EGY,92.416506,0.894737
EGY,112.050306,0.148148
EGY,110.842268,0.909091
EGY,29.270197,0.75
EGY,124.186698,0.75
EGY,121.478322,1
EGY,89.825503,0.947368
EGY,141.322654,1
EGY,70.766225,0.784314
EGY,127.978328,0.134409
EGY,100.864019,0.958333
EGY,144.308132,1
EGY,126.097654,0.8
EGY,123.171698,1
EGY,105.588111,0.444444
EGY,199.776,0.353741
EGY,116.413301,1
EGY,110.939616,0.916667
EGY,141.285453,1
EGY,45.000757,0.740741
EGY,118.335411,1
EGY,91.626091,0.961538
EGY,118.081817,1
EGY,100.420917,0.954545
EGY,64.673005,0.847458
EGY,105.827415,0.882353
EGY,86.975815,0.925926
EGY,86.192446,0.880952
EGY,48.987415,0.866667
EGY,114.214985,0.048363
EGY,112.418866,0.021961
EGY,119.526322,0.941176
EGY,117.687207,1
EGY,114.150615,0.296296
EGY,91.988349,0.9375
EGY,199.776,0.805714
EGY,111.861513,0.466667
EGY,157.025706,1
EGY,78.605319,1
EGY,124.775791,0.456522
EGY,94.646909,1
EGY,128.691767,0.233333
EGY,117.14122,1
EGY,109.471367,1
EGY,124.40017,0.928571
EGY,115.029377,1
EGY,110.778226,1
EGY,121.649198,0.464286
EGY,124.48535,0.472222
EGY,113.021698,0.933333
EGY,67.255852,0.5
EGY,103.125708,1
EGY,122.882398,0.5
EGY,100.303916,0.888889
EGY,101.990622,1
EGY,199.776,0.847222
EGY,57.715279,0.940299
EGY,91.341397,0.2
EGY,70.680632,0.95
EGY,112.261265,0.913043
EGY,113.021698,0.933333
EGY,199.776,0.834483
EGY,140.606306,1
EGY,39.532207,0.848837
EGY,90.422911,0.462687
EGY,93.661514,0.216667
EGY,162.459088,0.857143
EGY,105.526552,0.105751
EGY,141.322654,1
EGY,85.145113,1
EGY,119.022102,0.235294
EGY,130.217176,1
EGY,109.471367,1
EGY,50.391777,0.859155
EGY,143.970522,0.266667
EGY,123.149377,0.313725
EGY,128.050679,0.311111
EGY,86.183407,0.95
EGY,95.468046,1
EGY,66.520518,0.818182
EGY,70.570264,0.939394
EGY,40.123531,0.826087
EGY,84.451851,1
EGY,44.180264,0.847458
EGY,138.36725,0.205882
EGY,140.986716,0.147368
EGY,122.022773,1
EGY,64.287943,0.214286
EGY,135.313428,0.037037
EGY,72.003168,0.933333
EGY,41.224547,0.88
EGY,199.776,0.828358
EGY,39.187732,0.9
EGY,199.776,0.833333
EGY,101.110068,0.215517
EGY,109.633196,0.193182
EGY,96.333407,1
EGY,199.776,0.819048
EGY,38.885464,0.8
EGY,110.158531,0.869565
EGY,191.656,0.666667
EGY,109.976698,0.944444
EGY,100.414754,0.714286
EGY,83.965389,0.823529
EGY,126.097654,1
EGY,99.856459,0.958333
EGY,148.462113,0.085714
EGY,115.797911,0.291667
EGY,100.005264,1
EGY,146.338132,1
EGY,119.789088,0.5
EGY,46.205565,0.83871
EGY,99.222001,0.474026
EGY,80.733787,0.926829
EGY,175.594566,1
EGY,186.670283,1
EGY,139.440444,1
EGY,125.600158,0.046919
EGY,137.026051,0.16
EGY,77.501036,0.948718
EGY,126.186937,1
EGY,97.065053,0.95
EGY,65.468605,0.447619
EGY,82.542952,1
EGY,122.112056,1
EGY,149.383132,1
EGY,49.800764,0.869565
EGY,132.217415,1
EGY,124.596188,1
EGY,97.123449,0.954545
EGY,93.486202,1
EGY,144.696275,1
EGY,141.449696,0.186364
EGY,116.73482,0.911765
EGY,103.838955,0.88
EGY,57.093042,0.776119
EGY,96.284452,0.428571
EGY,64.536652,0.887097
EGY,66.87517,0.87931
EGY,96.217239,0.818182
EGY,123.171698,1
EGY,102.457074,0.823529
EGY,117.687207,1
EGY,114.883386,1
EGY,123.676634,0.909091
EGY,54.449933,0.933333
EGY,121.015214,0.916667
EGY,53.19707,0.898305
EGY,107.707985,1
EGY,98.582286,1
EGY,52.37736,0.966102
EGY,118.753871,0.851852
EGY,58.88417,0.928571
EGY,85.068277,0.931818
EGY,199.776,0.841379
EGY,125.199989,0.140741
EGY,66.041328,0.896552
EGY,117.687207,1
EGY,92.900264,1
EGY,124.783794,0.114286
EGY,89.580653,0.902439
EGY,111.589002,0.436364
EGY,37.162223,0.850575
EGY,144.309841,0.123077
EGY,69.984948,0.96
EGY,87.335286,0.170673
EGY,108.146823,1
EGY,102.079405,0.878788
EGY,119.111698,1
EGY,108.146823,1
EGY,81.561825,0.909091
EGY,75.533406,0.901961
EGY,117.081698,0.909091
EGY,108.288449,1
EGY,109.797507,0.866667
EGY,116.245889,1
EGY,166.504207,1
EGY,126.21236,1
EGY,93.915264,1
EGY,95.037,0.928571
EGY,104.894258,1
EGY,125.351128,1
EGY,91.307115,0.896552
EGY,109.214166,0.909091
EGY,132.217415,0.313725
EGY,101.169694,1
EGY,97.975264,1
EGY,91.912364,0.886364
EGY,113.992056,0.904762
EGY,114.633794,0.866667
EGY,101.169694,1
EGY,86.116832,0.918919
EGY,130.217176,1
EGY,117.962773,0.892857
EGY,118.446666,0.952381
EGY,45.786028,0.963636
EGY,142.307893,1
EGY,96.333407,1
EGY,113.191588,0.923077
EGY,148.368132,1
EGY,136.262534,0.5
EGY,181.20714,1
EGY,166.698279,0.125
EGY,108.035981,0.875
EGY,132.469883,1
EGY,122.932985,1
EGY,181.20714,1
EGY,85.561514,0.948718
EGY,130.706075,0.235294
EGY,87.138677,0.944444
EGY,118.052056,0.875
EGY,158.428849,0.857143
EGY,95.098576,0.134615
EGY,128.073259,1
EGY,150.308849,0.928571
EGY,129.194736,0.777778
EGY,107.611257,1
EGY,142.628101,1
EGY,137.680558,1
EGY,123.676634,1
EGY,87.150043,1
EGY,131.802865,0.025641
EGY,103.718386,0.954545
EGY,154.41349,1
EGY,94.018927,0.939394
EGY,86.131888,1
EGY,93.689213,0.894737
EGY,82.968689,0.896552
EGY,112.514198,0.19697
EGY,105.677568,1
EGY,199.776,0.775281
EGY,58.300356,1
EGY,100.303916,1
EGY,108.675242,0.92
EGY,106.035742,1
EGY,199.776,0.846939
EGY,97.016946,0.28125
EGY,108.662837,1
EGY,125.201698,1
EGY,199.776,0.871429
EGY,37.467185,0.892473
EGY,93.336664,0.954545
EGY,106.968899,0.172
EGY,199.776,0.798561
EGY,120.770921,0.094512
EGY,67.161229,0.959184
EGY,105.319394,0.138211
EGY,93.825981,0.818182
EGY,125.237277,0.233333
EGY,28.761059,0.195929
EGY,94.296592,0.875
EGY,91.350027,0.926829
EGY,102.005503,1
EGY,110.486761,1
EGY,105.780201,0.857143
EGY,95.736937,0.761905
EGY,94.930264,1
EGY,131.029655,0.168421
EGY,108.422541,0.122449
EGY,158.384207,0.733333
EGY,158.428849,0.461538
EGY,154.39861,1
EGY,71.287029,0.777778
EGY,154.39861,1
EGY,126.142295,1
EGY,119.47008,0.8
EGY,54.395538,0.872727
EGY,99.644864,1
EGY,132.545828,1
EGY,134.253142,0.050704
EGY,78.947584,0.82
EGY,113.260411,1
EGY,111.320111,0.944444
EGY,199.776,0.8
EGY,97.719723,1
EGY,132.844272,0.5
EGY,126.172056,1
EGY,122.15328,0.173913
EGY,107.127717,1
EGY,87.914547,1
EGY,117.687207,0.125
EGY,190.685641,0.75
EGY,89.899905,1
EGY,115.61872,0.5
EGY,108.400887,0.446429
EGY,144.308132,1
EGY,165.960475,0.044444
EGY,69.980366,0.813953
EGY,199.776,0.690196
EGY,89.899905,1
EGY,124.186698,1
EGY,120.514841,0.9
EGY,83.825133,0.962963
EGY,50.062476,0.892308
EGY,128.073259,1
EGY,105.677568,0.888889
EGY,134.247415,1
EGY,133.262176,1
EGY,125.216071,0.941176
EGY,67.266814,0.887097
EGY,142.52925,0.44186
EGY,82.542952,0.888889
EGY,112.954736,0.96
EGY,92.959786,1
EGY,108.288449,0.909091
EGY,145.323132,1
EGY,100.572807,0.944444
EGY,122.156698,1
EGY,118.126459,1
EGY,134.247415,1
EGY,121.478322,1
EGY,138.307415,1
EGY,100.513914,0.034891
EGY,89.855264,0.928571
EGY,-26.940005,0.847682
