@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R25-34,50'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute uniqueTags numeric
@attribute /CD numeric
@attribute /DT numeric
@attribute /DTJJ numeric
@attribute /DTJJR numeric
@attribute /DTNN numeric
@attribute /DTNNP numeric
@attribute /DTNNS numeric
@attribute /IN numeric
@attribute /JJ numeric
@attribute /NN numeric
@attribute /NNP numeric
@attribute /NNS numeric
@attribute /NOUN numeric
@attribute /PRP numeric
@attribute /RB numeric
@attribute /RP numeric
@attribute /UH numeric
@attribute /VBD numeric
@attribute /VBN numeric
@attribute /VBP numeric
@attribute /WP numeric
@attribute /WRB numeric
@attribute Adverbials numeric
@attribute Adverbs numeric
@attribute ConjSub numeric
@attribute Conjunctions numeric
@attribute Demonstratives numeric
@attribute Modals numeric
@attribute Negation numeric
@attribute Particles numeric
@attribute Prepositionals numeric
@attribute Prepositions numeric
@attribute Pronoun numeric
@attribute Quantitives numeric
@attribute QuestionWords numeric
@attribute Relatives numeric
@attribute StopWords numeric

@data
EGY,5,0,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2
EGY,6,0,0,0,0,1,0,1,0,2,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,12,1,0,0,0,6,3,1,7,3,13,24,0,0,0,0,0,0,5,1,3,1,0,0,0,0,2,0,0,1,0,0,4,0,0,2,2,8
EGY,6,0,0,1,0,0,0,0,0,0,7,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
EGY,5,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1
EGY,5,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,11,0,1,1,0,5,0,0,1,5,37,17,4,2,0,0,0,0,10,0,1,0,0,0,0,0,6,0,0,0,3,4,3,6,2,0,0,16
EGY,11,0,1,3,0,2,0,1,2,6,21,4,2,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,6
EGY,13,0,0,0,0,4,2,0,4,7,20,6,4,0,1,3,1,0,7,0,1,1,0,3,1,0,3,0,0,1,5,0,4,2,0,3,2,14
EGY,11,0,0,2,0,6,1,0,4,3,14,6,1,0,0,0,0,0,7,0,4,1,0,0,0,0,0,0,0,1,1,0,4,0,0,1,1,4
EGY,12,0,0,0,0,4,0,0,1,5,20,10,1,2,1,0,2,0,3,1,0,1,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,7
EGY,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,8,0,0,0,0,2,0,0,1,3,4,0,0,1,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,4
EGY,8,0,0,0,0,2,0,0,1,5,6,9,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1
EGY,12,0,3,0,0,6,0,1,4,3,12,2,1,0,1,0,2,0,2,0,6,0,0,0,0,0,1,2,0,2,0,1,2,0,0,3,1,9
EGY,4,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,5,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
EGY,7,0,2,0,0,0,0,0,1,1,14,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,4
EGY,10,0,0,1,0,13,0,0,4,3,9,9,0,0,1,0,1,0,3,0,2,0,0,0,0,0,6,0,0,1,3,0,2,1,0,2,1,8
EGY,8,0,0,0,0,6,1,0,2,1,11,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3
EGY,5,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,8,0,0,0,0,1,1,0,2,1,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3
EGY,5,0,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
EGY,4,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EGY,4,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,7,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,7,0,0,0,0,3,0,0,0,0,7,3,2,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
EGY,7,0,0,0,0,3,0,0,3,2,7,6,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5
EGY,12,0,0,2,0,3,0,2,3,5,8,4,4,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
EGY,3,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2
EGY,9,1,1,0,0,2,0,0,0,1,6,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,10,0,0,0,0,1,2,0,1,2,11,13,2,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
EGY,3,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,9,0,0,0,0,2,0,1,4,1,4,2,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
EGY,10,0,0,0,0,1,1,0,1,4,11,3,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,4
EGY,8,0,0,0,0,9,0,0,2,1,8,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6
EGY,6,0,0,0,0,4,0,0,2,0,5,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2
EGY,9,0,1,0,0,3,1,0,0,1,5,7,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,7,0,0,1,0,1,0,1,2,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
EGY,14,0,0,2,0,7,0,3,7,2,18,13,4,1,1,0,1,0,9,0,2,2,0,0,0,0,0,0,0,0,1,2,5,1,0,2,1,11
EGY,11,0,0,2,0,4,2,0,7,0,23,16,2,0,4,0,0,0,4,0,6,1,0,0,0,0,0,0,0,1,1,1,4,3,0,2,2,18
EGY,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EGY,12,0,0,2,0,6,1,0,4,5,13,6,2,0,0,0,2,0,1,0,5,0,1,0,0,0,1,0,0,1,2,1,3,0,1,2,1,9
EGY,12,1,0,3,0,3,1,2,2,1,13,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,1,5
EGY,9,1,0,0,0,3,0,0,2,2,8,3,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
EGY,14,0,0,2,0,8,1,0,4,4,26,31,1,1,2,0,0,0,4,1,5,3,0,0,0,0,0,0,0,0,0,2,4,2,1,1,1,15
EGY,14,0,0,2,0,24,1,2,15,10,83,22,5,3,0,0,1,0,7,1,15,0,0,0,0,0,0,0,0,4,1,5,8,0,1,6,5,36
EGY,11,0,0,0,0,2,0,0,3,1,13,9,0,3,1,0,1,0,4,1,2,0,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,6
EGY,8,0,1,0,0,4,0,0,3,2,7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,3
EGY,7,0,0,0,0,3,1,0,0,5,14,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,6
EGY,3,0,0,0,0,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
EGY,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EGY,6,0,0,0,0,1,0,0,1,0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
EGY,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,6,0,0,0,0,2,0,0,1,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,3
EGY,14,0,1,1,0,4,0,0,4,2,13,2,0,2,1,0,1,0,2,1,2,1,0,0,0,0,3,0,0,1,0,0,4,1,1,1,1,11
EGY,10,0,1,0,0,0,1,0,1,1,9,7,0,0,0,0,0,0,6,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
EGY,5,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
EGY,8,0,0,0,0,2,0,1,3,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,3
EGY,4,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
EGY,5,0,0,0,0,2,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
EGY,7,0,1,0,0,1,0,0,4,0,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,2,7
EGY,7,0,1,0,0,1,0,1,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
EGY,6,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,3
EGY,9,1,1,0,0,1,0,0,1,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2
EGY,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,9,0,1,0,0,4,0,1,2,0,2,1,0,0,0,0,0,0,3,0,2,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4
EGY,6,0,0,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EGY,6,0,1,0,0,2,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
EGY,4,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
EGY,11,0,0,0,0,6,0,0,6,8,25,5,0,1,4,0,2,0,2,0,5,1,0,0,0,0,2,0,0,2,4,0,3,3,1,4,3,17
EGY,8,0,0,0,0,1,0,0,1,1,6,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,3
EGY,10,1,0,0,0,1,0,0,4,2,10,9,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,6
EGY,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
EGY,11,1,0,1,0,5,0,0,2,3,15,1,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,3
EGY,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,14,1,2,0,0,3,0,1,4,4,18,4,1,0,0,0,2,0,7,1,2,2,0,0,0,0,0,0,0,1,5,0,1,0,0,1,3,9
EGY,12,1,1,1,0,5,0,0,2,1,16,6,0,0,1,0,0,0,1,0,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5
EGY,14,1,0,1,0,11,2,0,2,1,13,9,0,1,1,0,2,0,6,0,4,2,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,7
EGY,5,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,8,0,0,0,0,2,0,0,2,2,6,8,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
EGY,15,0,2,3,0,11,2,1,7,1,31,16,1,2,0,0,1,0,6,0,5,1,0,0,0,0,0,1,0,1,1,0,6,0,2,5,4,18
EGY,6,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
EGY,6,0,0,0,0,0,0,0,1,0,6,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
EGY,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,4,0,0,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2
EGY,4,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EGY,4,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,5,0,0,0,0,0,0,0,2,0,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2
EGY,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,7,0,0,0,0,1,0,0,0,1,14,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
EGY,6,0,0,0,0,0,0,0,1,2,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,2
EGY,5,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EGY,4,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EGY,5,0,0,0,0,1,0,0,2,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3
EGY,7,0,0,0,0,1,0,0,1,0,2,4,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3
EGY,7,1,1,0,0,0,0,0,1,1,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,5
EGY,5,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
EGY,5,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
