@relation 'textClassifier-weka.filters.unsupervised.attribute.Remove-R25,50'

@attribute class {EGY,GLF,LAV,MSA,NOR}
@attribute uniqueTags numeric
@attribute /CD numeric
@attribute /DT numeric
@attribute /DTJJ numeric
@attribute /DTJJR numeric
@attribute /DTNN numeric
@attribute /DTNNP numeric
@attribute /DTNNS numeric
@attribute /IN numeric
@attribute /JJ numeric
@attribute /NN numeric
@attribute /NNP numeric
@attribute /NNS numeric
@attribute /NOUN numeric
@attribute /PRP numeric
@attribute /RB numeric
@attribute /RP numeric
@attribute /UH numeric
@attribute /VBD numeric
@attribute /VBN numeric
@attribute /VBP numeric
@attribute /WP numeric
@attribute /WRB numeric
@attribute pureMSA numeric
@attribute pureEGY numeric
@attribute pureGLF numeric
@attribute pureLAV numeric
@attribute pureNOR numeric
@attribute MSAEGY numeric
@attribute MSAGLF numeric
@attribute MSALAV numeric
@attribute MSANOR numeric
@attribute Adverbials numeric
@attribute Adverbs numeric
@attribute ConjSub numeric
@attribute Conjunctions numeric
@attribute Demonstratives numeric
@attribute Modals numeric
@attribute Negation numeric
@attribute Particles numeric
@attribute Prepositionals numeric
@attribute Prepositions numeric
@attribute Pronoun numeric
@attribute Quantitives numeric
@attribute QuestionWords numeric
@attribute Relatives numeric
@attribute StopWords numeric

@data
EGY,6,0,0,0,0,2,1,0,2,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,7,9,5,0,0,0,0,0,0,0,0,0,2,0,0,2,2,3
EGY,10,0,0,2,0,3,0,0,2,4,16,9,0,0,1,0,1,0,2,0,3,0,0,0,9,0,1,0,33,31,28,26,0,0,0,2,0,0,2,0,1,1,1,1,2,1,10
EGY,11,0,0,0,0,1,2,4,2,0,12,8,1,2,0,0,1,0,1,0,3,0,0,0,12,3,3,1,18,15,15,11,0,0,0,0,0,0,1,0,0,0,0,3,1,0,8
EGY,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,5,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EGY,10,0,0,1,0,2,0,0,0,1,11,4,2,0,0,0,1,0,5,0,2,2,0,0,12,1,1,0,10,11,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,9,0,0,0,0,0,1,0,1,0,2,5,0,0,1,0,1,0,4,0,1,1,0,0,5,0,1,0,9,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,9,0,0,0,0,0,0,0,4,3,15,2,0,2,0,1,0,0,5,0,3,2,0,0,13,1,1,0,24,23,21,18,0,0,0,1,0,0,0,1,0,3,0,2,4,3,8
EGY,6,0,0,0,0,1,0,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,4,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
EGY,6,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,3,2,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,12,0,2,0,0,7,1,0,7,4,24,6,0,1,0,0,1,0,4,0,8,2,0,2,16,0,1,3,44,34,39,33,0,0,0,3,0,0,3,1,0,7,1,1,2,2,15
EGY,5,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EGY,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,11,0,0,0,0,2,1,0,3,3,11,7,0,0,1,0,1,0,2,0,4,1,0,1,8,0,1,0,27,23,24,22,0,0,0,1,0,0,2,2,0,1,0,1,2,1,5
EGY,13,1,0,0,0,9,4,1,11,1,34,25,1,0,1,0,1,0,8,0,4,0,0,2,34,1,1,5,52,44,47,40,0,0,0,2,0,0,1,2,1,8,1,0,6,2,17
EGY,14,0,1,3,0,12,1,1,9,2,13,12,0,0,7,0,4,0,2,1,3,0,0,3,15,3,1,0,52,40,42,36,0,0,0,7,1,0,1,2,0,7,3,0,3,5,20
EGY,7,1,1,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,4,5,5,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2
EGY,8,1,1,0,0,1,0,1,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,2,3,0,0,5,6,6,4,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2
EGY,11,0,2,0,0,3,1,0,7,2,16,5,0,1,0,0,0,0,3,0,6,2,0,0,13,1,3,0,32,21,28,24,0,0,0,1,0,0,1,1,0,2,0,1,1,3,11
EGY,6,0,0,0,0,1,0,0,2,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
EGY,11,0,0,1,0,4,1,0,3,2,9,5,0,0,1,0,1,0,0,0,4,1,0,0,7,0,0,0,23,17,18,15,0,0,0,2,0,0,1,0,0,2,1,0,1,1,9
EGY,12,0,1,0,0,6,1,1,2,0,17,1,2,0,2,0,1,0,0,0,1,2,0,2,8,0,3,0,25,20,24,14,0,0,1,0,0,0,0,2,1,0,2,0,2,1,9
EGY,7,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,7,6,7,5,0,0,0,0,0,0,0,0,1,2,0,0,1,1,3
EGY,13,2,0,1,0,7,1,0,7,2,28,8,3,1,0,0,1,0,4,0,1,0,0,2,9,1,3,1,46,38,42,31,2,0,0,0,0,0,0,3,0,4,0,1,1,0,11
EGY,13,0,0,1,0,1,1,0,3,1,5,2,1,1,0,0,3,0,4,0,3,2,0,2,3,3,1,0,20,20,20,17,0,0,0,0,0,0,0,0,0,3,0,0,0,2,7
EGY,10,0,1,1,0,3,0,0,3,1,13,3,1,0,0,0,1,0,0,0,3,0,0,0,8,0,2,0,17,16,17,14,0,0,0,1,0,0,1,0,1,3,0,0,1,1,7
EGY,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EGY,7,1,0,0,0,1,0,0,3,2,7,1,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,10,10,10,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
EGY,13,0,1,1,0,5,0,1,5,4,25,8,3,0,1,0,0,0,5,0,2,1,0,3,23,2,0,0,38,29,35,31,0,0,0,0,1,0,0,0,1,3,0,0,0,0,7
EGY,12,0,0,2,0,3,1,1,1,5,13,6,1,1,0,0,0,0,2,0,2,0,0,2,25,0,1,1,18,15,14,11,2,0,0,1,0,0,0,3,1,2,0,1,2,1,7
EGY,4,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
EGY,9,0,0,0,0,0,0,0,1,3,14,6,1,0,1,0,0,0,3,0,2,1,0,0,4,2,1,1,17,16,17,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EGY,13,0,0,2,0,7,1,1,3,5,19,11,3,0,1,0,2,0,5,0,3,0,0,0,18,4,4,2,39,31,32,24,1,0,0,3,0,0,3,0,2,4,1,0,2,1,5
EGY,5,0,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6,4,4,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2
EGY,6,0,0,0,0,1,0,1,0,2,12,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,10,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,12,1,0,0,0,6,3,1,7,3,13,24,0,0,0,0,0,0,5,1,3,1,0,5,31,2,0,0,33,29,31,19,0,0,0,2,0,0,1,0,0,4,0,0,2,2,8
EGY,6,0,0,1,0,0,0,0,0,0,7,3,0,1,1,0,0,0,0,0,1,0,0,0,5,1,1,0,10,6,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
EGY,5,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1
EGY,5,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,11,0,1,1,0,5,0,0,1,5,37,17,4,2,0,0,0,0,10,0,1,0,0,3,37,2,3,0,34,30,31,25,0,0,0,6,0,0,0,3,4,3,6,2,0,0,16
EGY,11,0,1,3,0,2,0,1,2,6,21,4,2,0,0,0,0,0,3,0,0,1,0,1,18,0,1,1,20,16,17,16,0,0,0,3,0,0,1,0,1,1,0,0,0,0,6
EGY,13,0,0,0,0,4,2,0,4,7,20,6,4,0,1,3,1,0,7,0,1,1,0,2,18,3,0,3,39,32,33,32,3,1,0,3,0,0,1,5,0,4,2,0,3,2,14
EGY,11,0,0,2,0,6,1,0,4,3,14,6,1,0,0,0,0,0,7,0,4,1,0,0,19,3,1,2,28,24,23,17,0,0,0,0,0,0,1,1,0,4,0,0,1,1,4
EGY,12,0,0,0,0,4,0,0,1,5,20,10,1,2,1,0,2,0,3,1,0,1,0,0,22,5,0,1,29,24,24,20,0,0,0,1,0,0,1,1,2,0,0,1,0,0,7
EGY,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,8,0,0,0,0,2,0,0,1,3,4,0,0,1,0,2,2,0,0,0,1,0,0,0,1,0,2,1,13,12,11,12,0,1,0,0,0,0,1,0,0,1,0,1,1,1,4
EGY,8,0,0,0,0,2,0,0,1,5,6,9,0,0,0,0,0,0,2,0,2,1,0,1,6,1,0,0,17,14,14,11,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1
EGY,12,0,3,0,0,6,0,1,4,3,12,2,1,0,1,0,2,0,2,0,6,0,0,0,14,4,2,2,23,20,18,17,0,0,0,1,2,0,2,0,1,2,0,0,3,1,9
EGY,4,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,5,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,0,4,4,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
EGY,7,0,2,0,0,0,0,0,1,1,14,3,0,2,0,0,0,0,0,0,2,0,0,1,7,0,0,1,13,13,13,10,0,0,0,1,0,0,1,0,1,1,0,1,0,0,4
EGY,10,0,0,1,0,13,0,0,4,3,9,9,0,0,1,0,1,0,3,0,2,0,0,1,16,0,1,0,27,21,23,18,0,0,0,6,0,0,1,3,0,2,1,0,2,1,8
EGY,8,0,0,0,0,6,1,0,2,1,11,3,0,0,0,0,0,0,2,0,1,0,0,5,6,1,0,1,14,11,13,12,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3
EGY,5,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,8,0,0,0,0,1,1,0,2,1,5,2,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,7,7,7,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3
EGY,5,0,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
EGY,4,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EGY,4,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,7,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,7,0,0,0,0,3,0,0,0,0,7,3,2,0,0,0,0,0,2,0,1,1,0,1,3,1,1,0,7,6,6,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
EGY,7,0,0,0,0,3,0,0,3,2,7,6,0,0,0,0,0,0,1,0,2,0,0,2,6,1,0,0,13,11,11,11,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5
EGY,12,0,0,2,0,3,0,2,3,5,8,4,4,0,2,0,0,0,1,0,1,2,0,1,17,0,0,2,13,8,11,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
EGY,3,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2
EGY,9,1,1,0,0,2,0,0,0,1,6,5,1,0,1,0,0,0,1,0,0,0,0,1,5,0,0,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,10,0,0,0,0,1,2,0,1,2,11,13,2,1,0,0,0,0,4,0,1,0,0,2,18,0,0,0,12,10,11,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
EGY,3,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EGY,9,0,0,0,0,2,0,1,4,1,4,2,2,0,0,0,0,0,3,0,2,0,0,1,5,1,0,0,11,11,10,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
EGY,10,0,0,0,0,1,1,0,1,4,11,3,1,0,2,0,0,0,0,0,1,1,0,1,6,0,1,0,12,11,12,8,0,0,0,0,0,0,1,0,0,1,1,0,1,0,4
EGY,8,0,0,0,0,9,0,0,2,1,8,2,2,0,2,0,0,0,2,0,0,0,0,2,7,2,0,0,17,15,15,14,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6
EGY,6,0,0,0,0,4,0,0,2,0,5,3,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,1,12,10,10,7,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2
EGY,9,0,1,0,0,3,1,0,0,1,5,7,1,0,0,0,1,0,0,0,3,0,0,1,7,0,0,1,10,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,7,0,0,1,0,1,0,1,2,0,8,2,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,9,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
EGY,14,0,0,2,0,7,0,3,7,2,18,13,4,1,1,0,1,0,9,0,2,2,0,1,24,1,2,0,39,36,37,32,0,0,0,0,0,0,0,1,2,5,1,0,2,1,11
EGY,11,0,0,2,0,4,2,0,7,0,23,16,2,0,4,0,0,0,4,0,6,1,0,1,26,1,2,1,36,31,31,22,0,0,0,0,0,0,1,1,1,4,3,0,2,2,18
EGY,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EGY,12,0,0,2,0,6,1,0,4,5,13,6,2,0,0,0,2,0,1,0,5,0,1,3,13,3,0,2,32,26,28,26,0,0,0,1,0,0,1,2,1,3,0,1,2,1,9
EGY,12,1,0,3,0,3,1,2,2,1,13,0,0,1,0,1,0,0,1,0,1,0,0,5,7,0,1,0,13,10,13,9,0,0,0,0,0,0,0,1,3,1,0,1,1,1,5
EGY,9,1,0,0,0,3,0,0,2,2,8,3,2,0,0,0,0,0,2,0,2,0,0,0,8,1,0,1,9,8,10,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
EGY,14,0,0,2,0,8,1,0,4,4,26,31,1,1,2,0,0,0,4,1,5,3,0,3,39,1,1,1,44,38,41,30,0,0,0,0,0,0,0,0,2,4,2,1,1,1,15
EGY,14,0,0,2,0,24,1,2,15,10,83,22,5,3,0,0,1,0,7,1,15,0,0,9,73,2,6,2,112,95,94,72,0,0,0,0,0,0,4,1,5,8,0,1,6,5,36
EGY,11,0,0,0,0,2,0,0,3,1,13,9,0,3,1,0,1,0,4,1,2,0,0,3,12,1,0,0,22,20,20,19,0,0,0,0,0,0,2,0,0,2,1,1,1,1,6
EGY,8,0,1,0,0,4,0,0,3,2,7,0,0,0,0,0,0,0,1,0,1,1,0,1,9,0,0,0,8,6,7,7,0,0,0,0,0,0,0,0,1,2,0,0,2,2,3
EGY,7,0,0,0,0,3,1,0,0,5,14,4,0,0,0,0,0,0,0,0,4,1,0,1,6,1,0,2,12,11,10,9,0,0,0,1,0,0,0,0,1,1,0,0,0,1,6
EGY,3,0,0,0,0,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
EGY,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EGY,6,0,0,0,0,1,0,0,1,0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
EGY,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,6,0,0,0,0,2,0,0,1,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,8,8,8,6,0,0,0,1,0,0,0,2,0,1,0,0,1,1,3
EGY,14,0,1,1,0,4,0,0,4,2,13,2,0,2,1,0,1,0,2,1,2,1,0,1,13,1,2,0,24,21,20,18,0,0,0,3,0,0,1,0,0,4,1,1,1,1,11
EGY,10,0,1,0,0,0,1,0,1,1,9,7,0,0,0,0,0,0,6,1,1,2,0,0,8,0,0,1,17,16,16,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
EGY,5,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
EGY,8,0,0,0,0,2,0,1,3,0,4,2,1,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,8,8,8,7,0,0,0,1,0,0,1,0,0,1,1,0,0,0,3
EGY,4,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,2,2,0,0,3,2,4,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
EGY,5,0,0,0,0,2,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,2,0,0,6,0,0,0,4,3,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
EGY,7,0,1,0,0,1,0,0,4,0,4,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,9,8,9,7,0,0,0,0,0,0,0,1,0,2,1,0,1,2,7
EGY,7,0,1,0,0,1,0,1,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,5,5,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
EGY,6,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,2,0,0,2,2,0,0,0,6,6,6,4,0,0,0,2,0,0,1,1,0,1,0,0,0,0,3
EGY,9,1,1,0,0,1,0,0,1,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,4,0,0,0,10,9,10,6,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2
EGY,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,9,0,1,0,0,4,0,1,2,0,2,1,0,0,0,0,0,0,3,0,2,1,0,0,1,0,0,0,10,8,10,6,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4
EGY,6,0,0,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EGY,6,0,1,0,0,2,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
