@relation textClassifier

@ATTRIBUTE class {EGY, GLF, LAV, MSA, NOR}
@ATTRIBUTE uniqueTags  NUMERIC
@ATTRIBUTE /CD NUMERIC
@ATTRIBUTE /DT NUMERIC
@ATTRIBUTE /DTJJ NUMERIC
@ATTRIBUTE /DTJJR NUMERIC
@ATTRIBUTE /DTNN NUMERIC
@ATTRIBUTE /DTNNP NUMERIC
@ATTRIBUTE /DTNNS NUMERIC
@ATTRIBUTE /IN NUMERIC
@ATTRIBUTE /JJ NUMERIC
@ATTRIBUTE /NN NUMERIC
@ATTRIBUTE /NNP NUMERIC
@ATTRIBUTE /NNS NUMERIC
@ATTRIBUTE /NOUN NUMERIC
@ATTRIBUTE /PRP NUMERIC
@ATTRIBUTE /RB NUMERIC
@ATTRIBUTE /RP NUMERIC
@ATTRIBUTE /UH NUMERIC
@ATTRIBUTE /VBD NUMERIC
@ATTRIBUTE /VBN NUMERIC
@ATTRIBUTE /VBP NUMERIC
@ATTRIBUTE /WP NUMERIC
@ATTRIBUTE /WRB NUMERIC
@ATTRIBUTE readability NUMERIC
@ATTRIBUTE pureMSA NUMERIC
@ATTRIBUTE pureEGY NUMERIC
@ATTRIBUTE pureGLF NUMERIC
@ATTRIBUTE pureLAV NUMERIC
@ATTRIBUTE pureNOR NUMERIC
@ATTRIBUTE MSAEGY NUMERIC
@ATTRIBUTE MSAGLF NUMERIC
@ATTRIBUTE MSALAV NUMERIC
@ATTRIBUTE MSANOR NUMERIC
@ATTRIBUTE Adverbials NUMERIC
@ATTRIBUTE Adverbs NUMERIC
@ATTRIBUTE ConjSub NUMERIC
@ATTRIBUTE Conjunctions NUMERIC
@ATTRIBUTE Demonstratives NUMERIC
@ATTRIBUTE Modals NUMERIC
@ATTRIBUTE Negation NUMERIC
@ATTRIBUTE Particles NUMERIC
@ATTRIBUTE Prepositionals NUMERIC
@ATTRIBUTE Prepositions NUMERIC
@ATTRIBUTE Pronoun NUMERIC
@ATTRIBUTE Quantitives NUMERIC
@ATTRIBUTE QuestionWords NUMERIC
@ATTRIBUTE Relatives NUMERIC
@ATTRIBUTE StopWords NUMERIC
@ATTRIBUTE typeTokenRatio NUMERIC

@data
EGY,10,0,0,0,0,1,2,0,1,0,11,3,1,1,0,0,0,0,2,0,3,1,0,94.41625667000002,0,10,0,0,0,12,7,10,8,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,1.0
EGY,13,0,0,2,0,7,1,1,3,3,19,12,0,2,0,1,1,0,0,1,4,0,0,57.008884472380956,1,18,2,2,2,39,32,35,29,0,0,0,6,0,1,1,3,0,0,0,2,2,0,8,0.7619047619047619
EGY,7,0,1,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,1,0,0,127.17217592,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0
EGY,18,1,2,6,0,17,1,1,20,13,58,11,1,4,2,3,3,0,9,0,14,4,0,50.976139255435626,5,51,8,1,5,122,83,96,83,0,2,0,1,0,0,1,6,1,16,2,0,7,7,33,0.2746212121212121
EGY,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,81.49613386333337,1,0,1,0,0,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45
EGY,9,0,0,1,0,1,0,0,3,1,4,9,0,0,1,0,2,0,3,0,0,0,0,104.42413258111111,0,4,0,0,0,14,13,13,14,0,0,0,0,0,0,2,1,0,1,1,0,0,0,5,0.39655172413793105
EGY,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,121.14169791,0,2,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
EGY,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,93.9599053725,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
EGY,11,1,0,1,0,2,1,0,4,1,5,3,0,0,0,0,0,0,1,0,4,1,0,141.6751466624,0,3,1,2,1,14,14,14,11,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0.46153846153846156
EGY,13,0,2,0,0,3,2,0,5,3,22,9,0,0,3,0,1,0,6,1,6,3,0,48.56047147071429,2,28,4,3,0,33,32,27,23,0,0,0,0,2,0,0,0,0,4,0,0,3,2,12,0.8428571428571429
EGY,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,142.32277343250001,0,1,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
EGY,12,0,0,0,0,2,2,1,1,1,9,6,1,0,1,0,0,0,1,0,5,1,0,35.158043446451614,1,3,1,0,0,21,17,19,16,0,0,0,1,0,0,1,4,0,0,1,0,0,0,5,0.9354838709677419
EGY,12,3,0,2,0,4,2,1,7,2,14,21,1,0,0,0,0,0,6,0,1,0,0,63.11807582913043,6,24,1,1,1,32,23,28,27,0,0,0,0,0,0,1,1,1,6,0,0,2,2,10,0.8923076923076924
EGY,12,3,1,1,0,8,1,0,8,7,29,11,2,0,0,0,0,0,9,0,0,1,0,20.91962593094118,7,25,2,2,0,44,34,43,36,0,0,0,1,0,0,0,3,2,7,0,0,2,2,14,0.8470588235294118
EGY,12,0,1,0,0,1,3,1,1,1,10,3,1,0,2,0,1,0,2,0,0,0,0,76.03340728300002,0,2,0,0,0,18,14,17,14,0,0,0,1,0,0,3,2,0,0,2,1,1,0,9,0.8333333333333334
EGY,6,0,0,0,0,2,1,0,2,0,3,4,0,0,0,0,0,0,1,0,0,0,0,94.5904845,0,0,0,1,0,8,7,9,5,0,0,0,0,0,0,0,0,0,2,0,0,2,2,3,0.9230769230769231
EGY,10,0,0,2,0,3,0,0,2,4,16,9,0,0,1,0,1,0,2,0,3,0,0,64.83864628799999,0,9,0,1,0,33,31,28,26,0,0,0,2,0,0,2,0,1,1,1,1,2,1,10,0.8
EGY,11,0,0,0,0,1,2,4,2,0,12,8,1,2,0,0,1,0,1,0,3,0,0,90.33525676682926,0,12,3,3,1,18,15,15,11,0,0,0,0,0,0,1,0,0,0,0,3,1,0,8,0.43902439024390244
EGY,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,172.54956597,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
EGY,5,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,138.41415078857145,0,0,0,0,0,4,3,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
EGY,10,0,0,1,0,2,0,0,0,1,11,4,2,0,0,0,1,0,5,0,2,2,0,104.44999977562499,0,12,1,1,0,10,11,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4696969696969697
EGY,9,0,0,0,0,0,1,0,1,0,2,5,0,0,1,0,1,0,4,0,1,1,0,135.17313194000002,0,5,0,1,0,9,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
EGY,9,0,0,0,0,0,0,0,4,3,15,2,0,2,0,1,0,0,5,0,3,2,0,63.62984602780486,0,13,1,1,0,24,23,21,18,0,0,0,1,0,0,0,1,0,3,0,2,4,3,8,0.8536585365853658
EGY,6,0,0,0,0,1,0,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,156.398848955,0,0,0,0,0,4,2,4,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1.0
EGY,6,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,103.58783749199999,0,3,2,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
EGY,12,0,2,0,0,7,1,0,7,4,24,6,0,1,0,0,1,0,4,0,8,2,0,35.432086142608696,2,16,0,1,3,44,34,39,33,0,0,0,3,0,0,3,1,0,7,1,1,2,2,15,0.8115942028985508
EGY,5,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,120.12669790999999,0,2,2,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0
EGY,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,155.78461309142855,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35
EGY,11,0,0,0,0,2,1,0,3,3,11,7,0,0,1,0,1,0,2,0,4,1,0,90.52180822000003,1,8,0,1,0,27,23,24,22,0,0,0,1,0,0,2,2,0,1,0,1,2,1,5,0.8717948717948718
EGY,13,1,0,0,0,9,4,1,11,1,34,25,1,0,1,0,1,0,8,0,4,0,0,92.68038193698112,2,34,1,1,5,52,44,47,40,0,0,0,2,0,0,1,2,1,8,1,0,6,2,17,0.20833333333333334
EGY,14,0,1,3,0,12,1,1,9,2,13,12,0,0,7,0,4,0,2,1,3,0,0,41.00133940250001,3,15,3,1,0,52,40,42,36,0,0,0,7,1,0,1,2,0,7,3,0,3,5,20,0.7721518987341772
EGY,7,1,1,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,115.67855450699999,0,1,0,0,0,5,4,5,5,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1.0
EGY,8,1,1,0,0,1,0,1,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,105.99110039749999,2,2,3,0,0,5,6,6,4,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,1.0
EGY,11,0,2,0,0,3,1,0,7,2,16,5,0,1,0,0,0,0,3,0,6,2,0,114.79794791,0,13,1,3,0,32,21,28,24,0,0,0,1,0,0,1,1,0,2,0,1,1,3,11,0.20754716981132076
EGY,6,0,0,0,0,1,0,0,2,1,5,0,0,0,1,0,1,0,0,0,0,0,0,119.28001009454546,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.0
EGY,11,0,0,1,0,4,1,0,3,2,9,5,0,0,1,0,1,0,0,0,4,1,0,98.78937716375002,0,7,0,0,0,23,17,18,15,0,0,0,2,0,0,1,0,0,2,1,0,1,1,9,0.96875
EGY,12,0,1,0,0,6,1,1,2,0,17,1,2,0,2,0,1,0,0,0,1,2,0,59.233512924750016,2,8,0,3,0,25,20,24,14,0,0,1,0,0,0,0,2,1,0,2,0,2,1,9,0.95
EGY,7,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,2,0,0,118.09669790999999,0,0,0,0,0,7,6,7,5,0,0,0,0,0,0,0,0,1,2,0,0,1,1,3,1.0
EGY,13,2,0,1,0,7,1,0,7,2,28,8,3,1,0,0,1,0,4,0,1,0,0,39.41210021729731,2,9,1,3,1,46,38,42,31,2,0,0,0,0,0,0,3,0,4,0,1,1,0,11,0.7837837837837838
EGY,13,0,0,1,0,1,1,0,3,1,5,2,1,1,0,0,3,0,4,0,3,2,0,116.8645681210345,2,3,3,1,0,20,20,20,17,0,0,0,0,0,0,0,0,0,3,0,0,0,2,7,0.2795698924731183
EGY,10,0,1,1,0,3,0,0,3,1,13,3,1,0,0,0,1,0,0,0,3,0,0,124.22105956427085,0,8,0,2,0,17,16,17,14,0,0,0,1,0,0,1,0,1,3,0,0,1,1,7,0.15238095238095237
EGY,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,154.39860994999998,0,1,0,0,0,2,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
EGY,7,1,0,0,0,1,0,0,3,2,7,1,0,0,0,0,0,0,2,0,0,0,0,143.70775571529413,0,6,0,0,0,10,10,10,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.0
EGY,13,0,1,1,0,5,0,1,5,4,25,8,3,0,1,0,0,0,5,0,2,1,0,55.9561428016129,3,23,2,0,0,38,29,35,31,0,0,0,0,1,0,0,0,1,3,0,0,0,0,7,0.8387096774193549
EGY,12,0,0,2,0,3,1,1,1,5,13,6,1,1,0,0,0,0,2,0,2,0,0,37.19864600000004,2,25,0,1,1,18,15,14,11,2,0,0,1,0,0,0,3,1,2,0,1,2,1,7,0.9487179487179487
EGY,4,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,108.66283749200001,1,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0
EGY,9,0,0,0,0,0,0,0,1,3,14,6,1,0,1,0,0,0,3,0,2,1,0,83.67598089500001,0,4,2,1,1,17,16,17,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.90625
EGY,13,0,0,2,0,7,1,1,3,5,19,11,3,0,1,0,2,0,5,0,3,0,0,87.87701950474178,0,18,4,4,2,39,31,32,24,1,0,0,3,0,0,3,0,2,4,1,0,2,1,5,0.27555555555555555
EGY,5,0,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,117.10401865624999,1,0,1,0,0,6,4,4,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,1.0
EGY,6,0,0,0,0,1,0,1,0,2,12,1,0,1,0,0,0,0,0,0,0,0,0,92.51232888833333,1,3,0,0,0,10,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9444444444444444
EGY,12,1,0,0,0,6,3,1,7,3,13,24,0,0,0,0,0,0,5,1,3,1,0,109.80592052828572,5,31,2,0,0,33,29,31,19,0,0,0,2,0,0,1,0,0,4,0,0,2,2,8,0.12218045112781954
EGY,6,0,0,1,0,0,0,0,0,0,7,3,0,1,1,0,0,0,0,0,1,0,0,127.85466021285714,0,5,1,1,0,10,6,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1.0
EGY,5,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,57.672873829999986,0,2,0,1,1,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0
EGY,5,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,49.61239581999999,1,3,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
EGY,11,0,1,1,0,5,0,0,1,5,37,17,4,2,0,0,0,0,10,0,1,0,0,19.57067940247424,3,37,2,3,0,34,30,31,25,0,0,0,6,0,0,0,3,4,3,6,2,0,0,16,0.8144329896907216
EGY,11,0,1,3,0,2,0,1,2,6,21,4,2,0,0,0,0,0,3,0,0,1,0,58.21135055777779,1,18,0,1,1,20,16,17,16,0,0,0,3,0,0,1,0,1,1,0,0,0,0,6,0.8333333333333334
EGY,13,0,0,0,0,4,2,0,4,7,20,6,4,0,1,3,1,0,7,0,1,1,0,39.185148232419365,2,18,3,0,3,39,32,33,32,3,1,0,3,0,0,1,5,0,4,2,0,3,2,14,0.8225806451612904
EGY,11,0,0,2,0,6,1,0,4,3,14,6,1,0,0,0,0,0,7,0,4,1,0,64.15390801235296,0,19,3,1,2,28,24,23,17,0,0,0,0,0,0,1,1,0,4,0,0,1,1,4,0.9803921568627451
EGY,12,0,0,0,0,4,0,0,1,5,20,10,1,2,1,0,2,0,3,1,0,1,0,100.57280689833333,0,22,5,0,1,29,24,24,20,0,0,0,1,0,0,1,1,2,0,0,1,0,0,7,0.18571428571428572
EGY,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,165.50408796000002,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
EGY,8,0,0,0,0,2,0,0,1,3,4,0,0,1,0,2,2,0,0,0,1,0,0,61.206392554117656,0,1,0,2,1,13,12,11,12,0,1,0,0,0,0,1,0,0,1,0,1,1,1,4,0.9411764705882353
EGY,8,0,0,0,0,2,0,0,1,5,6,9,0,0,0,0,0,0,2,0,2,1,0,65.28179215285715,1,6,1,0,0,17,14,14,11,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0.9285714285714286
EGY,12,0,3,0,0,6,0,1,4,3,12,2,1,0,1,0,2,0,2,0,6,0,0,85.72641577186049,0,14,4,2,2,23,20,18,17,0,0,0,1,2,0,2,0,1,2,0,0,3,1,9,0.9534883720930233
EGY,4,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,2,0,0,0,0,0,0,147.11441874599998,0,0,0,1,0,6,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9
EGY,5,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,1,0,1,0,0,0,0,106.573315502,2,2,0,1,0,4,4,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1.0
EGY,7,0,2,0,0,0,0,0,1,1,14,3,0,2,0,0,0,0,0,0,2,0,0,135.89711385965518,1,7,0,0,1,13,13,13,10,0,0,0,1,0,0,1,0,1,1,0,1,0,0,4,0.10714285714285714
EGY,10,0,0,1,0,13,0,0,4,3,9,9,0,0,1,0,1,0,3,0,2,0,0,99.95773029416667,1,16,0,1,0,27,21,23,18,0,0,0,6,0,0,1,3,0,2,1,0,2,1,8,0.2777777777777778
EGY,8,0,0,0,0,6,1,0,2,1,11,3,0,0,0,0,0,0,2,0,1,0,0,109.88741492500002,5,6,1,0,1,14,11,13,12,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0.8
EGY,5,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,129.19473567125,1,2,0,0,0,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.47058823529411764
EGY,8,0,0,0,0,1,1,0,2,1,5,2,0,0,1,0,0,0,1,0,0,0,0,130.754749532,0,4,0,0,0,7,7,7,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,1.0
EGY,5,0,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,132.217414925,0,1,0,0,0,4,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.0
EGY,4,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,150.36837094499998,0,1,0,0,0,3,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
EGY,4,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,74.80882985,0,2,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
EGY,7,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,1,0,1,0,1,0,0,74.57011665599998,0,3,0,0,0,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
EGY,7,0,0,0,0,3,0,0,0,0,7,3,2,0,0,0,0,0,2,0,1,1,0,108.96169791,1,3,1,1,0,7,6,6,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1.0
EGY,7,0,0,0,0,3,0,0,3,2,7,6,0,0,0,0,0,0,1,0,2,0,0,100.9371831876,2,6,1,0,0,13,11,11,11,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,0.96
EGY,12,0,0,2,0,3,0,2,3,5,8,4,4,0,2,0,0,0,1,0,1,2,0,78.85868794921053,1,17,0,0,2,13,8,11,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.918918918918919
EGY,3,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,117.10401865624999,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1.0
EGY,9,1,1,0,0,2,0,0,0,1,6,5,1,0,1,0,0,0,1,0,0,0,0,101.32545558473684,1,5,0,0,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8421052631578947
EGY,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,178.5949244775,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
EGY,10,0,0,0,0,1,2,0,1,2,11,13,2,1,0,0,0,0,4,0,1,0,0,59.1317286089474,2,18,0,0,0,12,10,11,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0.9473684210526315
EGY,3,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,152.189418746,0,2,1,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
EGY,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,148.36813194,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
EGY,9,0,0,0,0,2,0,1,4,1,4,2,2,0,0,0,0,0,3,0,2,0,0,111.41247837136365,1,5,1,0,0,11,11,10,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0.9545454545454546
EGY,10,0,0,0,0,1,1,0,1,4,11,3,1,0,2,0,0,0,0,0,1,1,0,107.59930170535715,1,6,0,1,0,12,11,12,8,0,0,0,0,0,0,1,0,0,1,1,0,1,0,4,0.8709677419354839
EGY,8,0,0,0,0,9,0,0,2,1,8,2,2,0,2,0,0,0,2,0,0,0,0,89.76128157870968,2,7,2,0,0,17,15,15,14,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0.8709677419354839
EGY,6,0,0,0,0,4,0,0,2,0,5,3,0,0,0,0,0,0,3,0,0,1,0,102.59816263894737,0,1,1,0,1,12,10,10,7,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1.0
EGY,9,0,1,0,0,3,1,0,0,1,5,7,1,0,0,0,1,0,0,0,3,0,0,97.84133940249998,1,7,0,0,1,10,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9583333333333334
EGY,7,0,0,1,0,1,0,1,2,0,8,2,0,2,0,0,0,0,0,0,0,0,0,131.87042488578948,1,2,1,0,0,9,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.8181818181818182
EGY,14,0,0,2,0,7,0,3,7,2,18,13,4,1,1,0,1,0,9,0,2,2,0,68.67402648479451,1,24,1,2,0,39,36,37,32,0,0,0,0,0,0,0,1,2,5,1,0,2,1,11,0.4527027027027027
EGY,11,0,0,2,0,4,2,0,7,0,23,16,2,0,4,0,0,0,4,0,6,1,0,116.59794023526317,1,26,1,2,1,36,31,31,22,0,0,0,0,0,0,1,1,1,4,3,0,2,2,18,0.12393162393162394
EGY,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,114.23271675857144,0,2,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.8571428571428571
EGY,12,0,0,2,0,6,1,0,4,5,13,6,2,0,0,0,2,0,1,0,5,0,1,55.470512077500004,3,13,3,0,2,32,26,28,26,0,0,0,1,0,0,1,2,1,3,0,1,2,1,9,0.9622641509433962
EGY,12,1,0,3,0,3,1,2,2,1,13,0,0,1,0,1,0,0,1,0,1,0,0,97.29688824909091,5,7,0,1,0,13,10,13,9,0,0,0,0,0,0,0,1,3,1,0,1,1,1,5,0.32323232323232326
EGY,9,1,0,0,0,3,0,0,2,2,8,3,2,0,0,0,0,0,2,0,2,0,0,113.38336493517244,0,8,1,0,1,9,8,10,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.18666666666666668
